"Time [ms]","FluxLinkage(PhaseA) [Wb]"
0,1.27752324103744
0.02,1.27710756594233
0.04,1.27711866705318
0.06,1.27751440683967
0.08,1.27816064624724
0.1,1.27885845338966
0.12,1.2796133978382
0.14,1.2805799952431
0.16,1.28184255702625
0.18,1.28328336352929
0.2,1.28472181546879
0.22,1.2862215643206
0.24,1.28797106081843
0.26,1.2901026607757
0.28,1.29250841272359
0.3,1.29427710979285
0.32,1.29642147278907
0.34,1.29895995805683
0.36,1.30177763357274
0.38,1.30464244925283
0.4,1.3075172103514
0.42,1.31053830495602
0.44,1.3137953081496
0.46,1.31714053835848
0.48,1.32041865254006
0.5,1.32373089157869
0.52,1.3272929347227
0.54,1.33113654060763
0.56,1.33492942031761
0.58,1.33811715551022
0.6,1.34148907269204
0.62,1.34499818915013
0.64,1.34854500935329
0.66,1.3519709951786
0.68,1.35536834722524
0.700000000000001,1.35890682235015
0.720000000000001,1.36262988198059
0.740000000000001,1.36637064160811
0.760000000000001,1.37002897156385
0.780000000000001,1.37373671734631
0.800000000000001,1.37758579016626
0.820000000000001,1.38167915728788
0.840000000000001,1.38570668793913
0.860000000000001,1.38944014181947
0.880000000000001,1.39337012638488
0.900000000000001,1.39740749308094
0.920000000000001,1.4014981121911
0.940000000000001,1.40554994476134
0.960000000000001,1.40950595501339
0.980000000000001,1.41342748861908
1,1.4173725286473
1.02,1.42124536947828
1.04,1.42499504080914
1.06,1.42874005616109
1.08,1.43252048812107
1.1,1.43637309138475
1.12,1.44007155355451
1.14,1.44360016269309
1.16,1.44725592456999
1.18,1.45099359359674
1.2,1.45475315861938
1.22,1.45840712548794
1.24,1.46201564957449
1.26,1.46566313956304
1.28,1.46934264406623
1.3,1.47297120634837
1.32,1.4765110586552
1.34,1.48003791981872
1.36,1.48361676901379
1.38,1.48728663029856
1.4,1.49081798893563
1.42,1.49424895444436
1.44,1.49774678425585
1.46,1.50127520202228
1.48,1.50475775584898
1.5,1.50812138650407
1.52,1.51142598853358
1.54,1.51474959038959
1.56,1.51807216230303
1.58,1.52133224472578
1.6,1.52451733894561
1.62,1.5276955433728
1.64,1.53092578949489
1.66,1.53424453065994
1.68,1.53731057815803
1.7,1.54030144713552
1.72,1.5433799826976
1.74,1.54649852444692
1.76,1.54957752096811
1.78,1.55257283043221
1.8,1.55553924972003
1.82,1.55854976765147
1.84,1.56155394076229
1.86,1.56448026316522
1.88,1.56732302023139
1.9,1.57014835375211
1.92,1.57299750357142
1.94,1.57589553472234
1.96,1.57860587816533
1.98,1.5813052266137
2,1.58403816637382
2.02,1.58676515353399
2.04,1.58946591972464
2.06,1.59212064502609
2.08,1.59476410313188
2.1,1.59743207213624
2.12,1.60009091555703
2.14,1.6026999930669
2.16,1.60527104527297
2.18,1.6078378380967
2.2,1.61040437461432
2.22,1.61298798082393
2.24,1.61546027817921
2.26,1.61793441894645
2.28,1.62040193236043
2.3,1.62283905502937
2.32,1.6252242410766
2.34,1.6275426602295
2.36,1.6298127017585
2.38,1.63205260047374
2.40000000000001,1.63425660682063
2.42000000000001,1.63640282293949
2.44000000000001,1.63849816111818
2.46000000000001,1.64057084579835
2.48000000000001,1.64263802863929
2.50000000000001,1.64470687433677
2.52000000000001,1.6466561138696
2.54000000000001,1.64861319738866
2.56000000000001,1.65055609259086
2.58000000000001,1.65246450113375
2.60000000000001,1.65431464244832
2.62000000000001,1.65609969956133
2.64000000000001,1.65783731365558
2.66000000000001,1.65957785524566
2.68000000000001,1.66127505232557
2.70000000000001,1.66291251573529
2.72000000000001,1.66447327196121
2.74000000000001,1.66594516811889
2.76000000000001,1.66732807653133
2.78000000000001,1.66861187248823
2.80000000000001,1.6698085877951
2.82000000000001,1.67092661816011
2.84000000000001,1.67195651675224
2.86000000000001,1.67288006122531
2.88000000000001,1.67369673484322
2.90000000000001,1.67440840853468
2.92000000000001,1.67501444471992
2.94000000000001,1.67553242081316
2.96000000000001,1.67595729123869
2.98000000000001,1.67629012264193
3.00000000000001,1.67654788107497
3.02000000000001,1.67675104582935
3.04000000000001,1.67690353692377
3.06000000000001,1.6769834414417
3.08000000000001,1.67695700728202
3.10000000000001,1.67693169623325
3.12000000000001,1.67691537839081
3.14000000000001,1.67690073167329
3.16000000000001,1.67689748449384
3.18000000000001,1.67688307489765
3.20000000000001,1.67683254578314
3.22000000000001,1.67674012575311
3.24000000000001,1.67660764591995
3.26000000000001,1.67640608145636
3.28000000000001,1.67612124313493
3.30000000000001,1.67576358156761
3.32000000000001,1.67533750316065
3.34000000000001,1.67482549287781
3.36000000000001,1.67419517532093
3.38000000000001,1.6734740347957
3.40000000000001,1.67266697695694
3.42000000000001,1.67175873615628
3.44000000000001,1.67073507967037
3.46000000000001,1.66959561399811
3.48000000000001,1.66836538664263
3.50000000000001,1.66704883891632
3.52000000000001,1.66562303018679
3.54000000000001,1.66409731670968
3.56000000000001,1.66252897797628
3.58000000000001,1.66091036685382
3.60000000000001,1.65925840015953
3.62000000000001,1.65754276675873
3.64000000000001,1.65574714519508
3.66000000000001,1.65392760172125
3.68000000000001,1.65209670132938
3.70000000000001,1.65023332956672
3.72000000000001,1.64829407351235
3.74000000000001,1.64632490802002
3.76000000000001,1.64433884521112
3.78000000000001,1.64233404709773
3.80000000000001,1.64027607524276
3.82000000000001,1.63815320807898
3.84000000000001,1.63598870952526
3.86000000000001,1.63380068265529
3.88000000000001,1.63160694094065
3.90000000000001,1.62927797215597
3.92000000000001,1.62683114673586
3.94000000000001,1.62438320000125
3.96000000000001,1.62192479847118
3.98000000000001,1.61942487089013
4.00000000000001,1.61685412319517
4.02000000000001,1.61424745941538
4.04000000000001,1.61164864123367
4.06000000000001,1.60905006900144
4.08000000000001,1.60641802132196
4.10000000000001,1.60374391968117
4.12000000000001,1.60107360200714
4.14000000000001,1.59841790533993
4.16000000000001,1.59579857627891
4.18000000000001,1.59305604008695
4.20000000000001,1.59026949456875
4.22000000000001,1.58751702909269
4.24000000000001,1.58478779148423
