"Time [ms]","FluxLinkage(PhaseA) [Wb]"
0,0.178218979035695
0.02,0.178129145109849
0.04,0.178162166988247
0.06,0.178309459956647
0.08,0.178533063243076
0.1,0.178787321250333
0.12,0.179067470304941
0.14,0.179416763540866
0.16,0.179852647659261
0.18,0.180351394369774
0.2,0.180864773207694
0.22,0.181409665022623
0.24,0.182044430013025
0.26,0.182813881474592
0.28,0.183686731236225
0.3,0.184366531322576
0.32,0.185178418804192
0.34,0.186140691809484
0.36,0.187231516007299
0.38,0.188350197594404
0.4,0.189507344132068
0.42,0.190773672886723
0.44,0.192196579949626
0.46,0.193710844882414
0.48,0.195260535494165
0.5,0.196898293554247
0.52,0.198737075698931
0.54,0.200805191518852
0.56,0.202972057882198
0.58,0.204979686676676
0.6,0.207239704007999
0.62,0.209749642488588
0.64,0.212435839627001
0.66,0.215212033688371
0.68,0.218142738007829
0.700000000000001,0.221316263788026
0.720000000000001,0.224753002100523
0.740000000000001,0.228391080664529
0.760000000000001,0.232190825880016
0.780000000000001,0.236310686408691
0.800000000000001,0.240864862569978
0.820000000000001,0.245960863214912
0.840000000000001,0.251287796699886
0.860000000000001,0.256525554493798
0.880000000000001,0.262334323570208
0.900000000000001,0.26868840599451
0.920000000000001,0.275604311831106
0.940000000000001,0.283109590885321
0.960000000000001,0.29131225092537
0.980000000000001,0.300194615431848
1,0.309647166081636
1.02,0.319772708527493
1.04,0.330543456396081
1.06,0.341968985948348
1.08,0.353621850292411
1.1,0.365273666878057
1.12,0.376429829512594
1.14,0.386294804125156
1.16,0.395075074684593
1.18,0.403160219757789
1.2,0.410547928494343
1.22,0.418032178190417
1.24,0.425910674169009
1.26,0.434015437513902
1.28,0.442020530257058
1.3,0.449986564864168
1.32,0.458211327499298
1.34,0.467092681763034
1.36,0.477184146506041
1.38,0.488076600621862
1.4,0.498649631537688
1.42,0.509278798064975
1.44,0.520671931607903
1.46,0.53275570995915
1.48,0.544565910055571
1.5,0.556480832814264
1.52,0.568341803079495
1.54,0.579453071809755
1.56,0.590119820387798
1.58,0.600523308346255
1.6,0.610568203037708
1.62,0.620392677334059
1.64,0.630125311771934
1.66,0.639861794743661
1.68,0.648560587273195
1.7,0.656215227600487
1.72,0.663879211296741
1.74,0.672251591787105
1.76,0.681172279216463
1.78,0.690502142687622
1.8,0.700071799284057
1.82,0.709762495968334
1.84,0.71952991037515
1.86,0.729392704754652
1.88,0.739379126556441
1.9,0.749607926835006
1.92,0.76010432118923
1.94,0.770789893872292
1.96,0.78122707214173
1.98,0.791085294847826
2,0.800344455853077
2.02,0.809329656285713
2.04,0.818469796012373
2.06,0.82786579568426
2.08,0.837158465431628
2.1,0.84589823418735
2.12,0.854332377103407
2.14,0.86251982385104
2.16,0.870581752988757
2.18,0.87854697919913
2.2,0.886387877275131
2.22,0.894268789812947
2.24,0.901562437217936
2.26,0.908722199094751
2.28,0.915916530521644
2.3,0.923143843493527
2.32,0.930868072374883
2.34,0.939395202490108
2.36,0.948508080920022
2.38,0.957192677487568
2.40000000000001,0.966018248924587
2.42000000000001,0.974893253372495
2.44000000000001,0.983720419058416
2.46000000000001,0.992378767729518
2.48000000000001,1.00073073369549
2.50000000000001,1.00875117726734
2.52000000000001,1.01531243761939
2.54000000000001,1.02118860677931
2.56000000000001,1.02676838292105
2.58000000000001,1.0324339207969
2.60000000000001,1.03822844628161
2.62000000000001,1.04403709566708
2.64000000000001,1.04985906616671
2.66000000000001,1.05568970766721
2.68000000000001,1.06135798963348
2.70000000000001,1.06691714835607
2.72000000000001,1.07247225333235
2.74000000000001,1.07807690355779
2.76000000000001,1.0835982864524
2.78000000000001,1.08885344579918
2.80000000000001,1.09388813959073
2.82000000000001,1.09855579193567
2.84000000000001,1.10280521857128
2.86000000000001,1.10668013781403
2.88000000000001,1.11026444143757
2.90000000000001,1.11333381541421
2.92000000000001,1.11561315145036
2.94000000000001,1.11721584280481
2.96000000000001,1.11820117582682
2.98000000000001,1.11864477126835
3.00000000000001,1.11870092401482
3.02000000000001,1.11853735627109
3.04000000000001,1.11829707151693
3.06000000000001,1.11796907759019
3.08000000000001,1.11742094273713
3.10000000000001,1.11712231451431
3.12000000000001,1.11702615706466
3.14000000000001,1.11705450678963
3.16000000000001,1.11728924129906
3.18000000000001,1.11769806614218
3.20000000000001,1.11812252790354
3.22000000000001,1.11840270122674
3.24000000000001,1.11869517101401
3.26000000000001,1.11887039576901
3.28000000000001,1.11868245995385
3.30000000000001,1.11800473459914
3.32000000000001,1.11679007496683
3.34000000000001,1.11501063165386
3.36000000000001,1.1125251877676
3.38000000000001,1.10944426023309
3.40000000000001,1.10604355973173
3.42000000000001,1.10221544610315
3.44000000000001,1.09796191253603
3.46000000000001,1.09327731572397
3.48000000000001,1.08828881608926
3.50000000000001,1.08315916918117
3.52000000000001,1.07787718242536
3.54000000000001,1.07248655812146
3.56000000000001,1.06721606296525
3.58000000000001,1.06187865690527
3.60000000000001,1.05639202029518
3.62000000000001,1.05068567540496
3.64000000000001,1.04494156394329
3.66000000000001,1.03926527809598
3.68000000000001,1.03363042724555
3.70000000000001,1.02806649400319
3.72000000000001,1.02227494994378
3.74000000000001,1.01594737382878
3.76000000000001,1.0088106554767
3.78000000000001,1.00110565992239
3.80000000000001,0.992877857564153
3.82000000000001,0.984138922929502
3.84000000000001,0.975055242961205
3.86000000000001,0.965834473254691
3.88000000000001,0.956650714932212
3.90000000000001,0.946764343895125
3.92000000000001,0.936665551709333
3.94000000000001,0.92757049228453
3.96000000000001,0.919662896864991
3.98000000000001,0.912229506448668
4.00000000000001,0.904788376153398
4.02000000000001,0.897385741349945
4.04000000000001,0.889708246074114
4.06000000000001,0.88202116783896
4.08000000000001,0.874431208426772
4.10000000000001,0.866740166866509
4.12000000000001,0.858931894358142
4.14000000000001,0.850774211860787
4.16000000000001,0.842268020753818
4.18000000000001,0.833278643741636
4.20000000000001,0.823901616798729
4.22000000000001,0.814413684410973
4.24000000000001,0.805016172092243
4.26000000000001,0.795999511911741
4.28000000000001,0.786587954858654
4.30000000000001,0.776594664879
4.32000000000001,0.76624132873633
4.34000000000001,0.755973715320309
4.36000000000001,0.745844987856769
4.38000000000001,0.735869326642504
4.40000000000001,0.726176251228293
4.42000000000001,0.716534442903473
4.44000000000001,0.706953119229463
4.46000000000001,0.697347953461785
4.48000000000001,0.687961804428692
4.50000000000001,0.678793737778805
4.52000000000001,0.669978505482583
4.54000000000001,0.661805116075082
4.56000000000001,0.653841497657605
4.58000000000001,0.645482295086202
4.60000000000001,0.636243412210107
4.62000000000001,0.626709264642644
4.64000000000001,0.616842079531052
4.66000000000001,0.60662369619351
4.68000000000001,0.596146568622717
4.70000000000001,0.58550351862921
4.72000000000001,0.574806400586523
4.74000000000001,0.562689669884117
4.76000000000001,0.550398739645401
4.78000000000001,0.538454729033831
4.80000000000001,0.526816054248876
4.82000000000001,0.515518354401275
4.84000000000001,0.504984928389032
4.86000000000001,0.495102081449361
4.88000000000001,0.484691975530583
4.90000000000001,0.474846913397379
4.92000000000001,0.465738797922498
4.94000000000001,0.457235308552659
4.96000000000001,0.449237038641095
4.98000000000001,0.441295808139455
5.00000000000001,0.433081177218289
5.02000000000001,0.424561856134527
5.04000000000001,0.416255492759556
5.06000000000001,0.408246071840396
5.08000000000001,0.400486136575183
5.10000000000001,0.392337691451137
5.12000000000001,0.382932532752237
5.14000000000001,0.372388487769604
5.16000000000001,0.361392081757758
5.18000000000001,0.350515380345375
5.20000000000001,0.339780671631697
5.22000000000001,0.329187275543229
5.24000000000001,0.318835351956548
5.26000000000001,0.308931864540848
5.28000000000001,0.299618123089912
5.30000000000001,0.290578034420066
5.32000000000001,0.28236792662295
5.34000000000001,0.274966083521917
5.36000000000001,0.268203268256476
5.38000000000001,0.261861107455434
5.40000000000001,0.255890835793813
5.42000000000001,0.250347552054734
5.44000000000001,0.245257770215467
5.46000000000001,0.240530375142547
5.48000000000001,0.236046872148712
5.50000000000001,0.231867054163575
5.52000000000001,0.227999033116292
5.54000000000001,0.224450439076686
5.56000000000001,0.221112212720885
5.58000000000001,0.217714267459758
5.60000000000001,0.214648926937764
5.62000000000001,0.211843421180763
5.64000000000001,0.209258483421567
5.66000000000001,0.206812798808212
5.68000000000001,0.204469636781617
5.70000000000001,0.20229421118929
5.72000000000001,0.200323251459529
5.74000000000001,0.198470142562012
5.76000000000001,0.196692331323204
5.78000000000001,0.195012901861779
5.80000000000001,0.193457339839084
5.82000000000001,0.192079420476357
5.84000000000001,0.190750667846642
5.86000000000001,0.189330618872381
5.88000000000001,0.188109967668346
5.90000000000001,0.187034290369188
5.92000000000001,0.186062751933485
5.94000000000001,0.185134830175709
5.96000000000001,0.184256515393039
5.98000000000001,0.1834651370417
6.00000000000001,0.182768476971005
6.02000000000001,0.182128787607197
6.04000000000001,0.181513404023895
6.06000000000001,0.180975293316939
6.08000000000001,0.180524750591437
6.10000000000001,0.180210419063523
6.12000000000001,0.179855033561486
6.14000000000001,0.17940814641111
6.16000000000001,0.17909933288964
6.18000000000001,0.178880741304891
6.20000000000001,0.178749898594326
6.22000000000001,0.178646687620562
6.24000000000001,0.178567554730404
6.26000000000001,0.178572972373995
6.28000000000001,0.178672768941502
6.30000000000001,0.178804562546808
6.32000000000001,0.17894930418147
6.34000000000001,0.179165690098741
6.36000000000001,0.179495629251609
6.38000000000002,0.179986274638343
6.40000000000002,0.180343506969596
6.42000000000002,0.180644544519606
6.44000000000002,0.181120611981271
6.46000000000002,0.181710568180718
6.48000000000002,0.182362805067241
6.50000000000002,0.183031564341069
6.52000000000002,0.183762224979565
6.54000000000002,0.184590227139216
6.56000000000002,0.185509120935661
6.58000000000002,0.186476006051992
6.60000000000002,0.187485259427206
6.62000000000002,0.18860852923115
6.64000000000002,0.189892722056405
6.66000000000002,0.19139291825473
6.68000000000002,0.19271999493009
6.70000000000002,0.194081764059567
6.72000000000002,0.195644347486083
6.74000000000002,0.197338072482058
6.76000000000002,0.199141513564487
6.78000000000002,0.201030469290515
6.80000000000002,0.203041021093515
6.82000000000002,0.205251945156752
6.84000000000002,0.207642846321537
6.86000000000002,0.210142725912056
6.88000000000002,0.212778289492447
6.90000000000002,0.215640490404979
6.92000000000002,0.218812522054984
6.94000000000002,0.222380132847303
6.96000000000002,0.225730590469904
6.98000000000002,0.229297336054917
7.00000000000002,0.233254532884276
7.02000000000002,0.237559865819527
7.04000000000002,0.242168169586821
7.06000000000002,0.247050702470915
7.08000000000002,0.252324731365191
7.10000000000002,0.258012759747405
7.12000000000002,0.264126750250846
7.14000000000002,0.270638163839631
7.16000000000002,0.277649181534275
7.18000000000002,0.285338102599171
7.20000000000002,0.293816005702058
7.22000000000002,0.303093786538916
7.24000000000002,0.312458506958568
7.26000000000002,0.322414930241716
7.28000000000002,0.332840411598016
7.30000000000002,0.343481541479585
7.32000000000002,0.354225937848467
7.34000000000002,0.365040314640724
7.36000000000002,0.375880765825183
7.38000000000002,0.386172966525965
