Time [ms],FluxLinkage(PhaseA) [Wb]
5.56,0.044249755
5.58,0.043568053
5.6,0.042952893
5.62,0.042389872
5.64,0.041870877
5.66,0.041379899
5.68,0.040909701
5.7,0.040473173
5.72,0.040077431
5.74,0.03970537
5.76,0.039348557
5.78,0.039011713
5.8,0.038699845
5.82,0.038423643
5.84,0.038157282
5.86,0.037872495
5.88,0.037627603
5.9,0.037411771
5.92,0.037216916
5.94,0.03703091
5.96,0.036854903
5.98,0.03669633
6,0.036556682
6.02,0.036428455
6.04,0.03630515
6.06,0.036197275
6.08,0.036106979
6.1,0.036044019
6.12,0.035972899
6.14,0.035883464
6.16,0.035821654
6.18,0.035777903
6.2,0.035751618
6.22,0.03573088
6.24,0.035715011
6.26,0.035716051
6.28,0.035735921
6.3,0.0357622
6.32,0.0357911
6.34,0.035834404
6.36,0.035900451
6.38,0.035998669
6.4,0.036070174
6.42,0.036130359
6.44,0.036225507
6.46,0.036343416
6.48,0.036473818
6.5,0.036607553
6.52,0.036753695
6.54,0.036919283
6.56,0.037103024
6.58,0.037296371
6.6,0.037498195
6.62,0.037722783
6.64,0.037979584
6.66,0.038279635
6.68,0.038545048
6.7,0.038817367
6.72,0.039129849
6.74,0.039468556
6.76,0.039829149
6.78,0.040206844
6.8,0.040608867
6.82,0.041050935
6.84,0.04152896
6.86,0.042028767
6.88,0.042555701
6.9,0.04312795
6.92,0.043762125
6.94,0.044475395
6.96,0.045145191
6.98,0.045858144
7,0.046649083
7.02,0.04750954
7.04,0.048430474
7.06,0.049406067
7.08,0.050459776
7.1,0.051596083
7.12,0.052817379
7.14,0.054117776
7.16,0.055517697
7.18,0.057052734
7.2,0.058744752
7.22,0.060596603
7.24,0.062465351
7.26,0.064452129
7.28,0.066532606
7.3,0.068658596
7.32,0.070808027
7.34,0.072976134
7.36,0.075154402
7.38,0.077228081
7.4,0.079076804
7.42,0.080670103
7.44,0.082105147
7.46,0.08365953
7.48,0.085366558
7.5,0.087107473
7.52,0.088770337
7.54,0.090383559
7.56,0.091983294
7.58,0.093620482
7.6,0.095403007
7.62,0.097385708
7.64,0.09950122
7.66,0.10150312
7.68,0.103646871
7.7,0.105964753
7.72,0.108386207
7.74,0.110867637
7.76,0.113381361
7.78,0.1158273
7.8,0.11798216
7.82,0.120102442
7.84,0.122171743
7.86,0.124189657
7.88,0.126150083
7.9,0.128052265
7.92,0.12989188
7.94,0.131521458
7.96,0.133081231
7.98,0.134700845
8,0.136454887
8.02,0.138305553
8.04,0.140221593
8.06,0.142184064
8.08,0.144144242
8.1,0.146123745
8.12,0.148110771
8.14,0.15013787
8.16,0.152195061
8.18,0.154282715
8.2,0.156379636
8.22,0.158383172
8.24,0.160267865
8.26,0.162091559
8.28,0.164011664
8.3,0.165950905
8.32,0.167862616
