"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.201272687218218,28.7534001989323,0.00081367051317596
0.1,0.201338358901292,28.7626237967424,0.116096042416488
0.2,0.201493921602417,28.7848470464017,0.240658684190349
0.3,0.20177621025108,28.8251740213062,0.361481406273513
0.4,0.202143286951961,28.8776136082362,0.470715156115252
0.5,0.20261878776246,28.9455423667164,0.572295083149271
0.6,0.203184153597974,29.0263089625148,0.684783917914779
0.7,0.203844378168334,29.1206268119868,0.813239523006178
0.8,0.204638772286437,29.234111796799,0.93242878046771
0.9,0.205516868421233,29.3595542046947,1.05466491369506
1,0.206531178457481,29.5044556874059,1.18972420476461
1.1,0.2076421956913,29.6631724925854,1.3288971506876
1.2,0.208917508350297,29.8453601088673,1.488901429214
1.3,0.210331411211422,30.0473463863284,1.66745028083533
1.4,0.211918893248425,30.2741296169057,1.84899022790492
1.5,0.213654591513299,30.5220866285329,2.0137343413964
1.6,0.215524676217518,30.7892414599243,2.16815342605842
1.7,0.217562927041618,31.0804195626549,2.36282010267875
1.8,0.219794400565419,31.3992004478432,2.62562929956065
1.9,0.222251998140112,31.7502847681408,2.85483053831662
2,0.224901109717679,32.1287283750555,3.07654448891934
2.1,0.227784118492168,32.5405855762341,3.33580095859043
2.2,0.230871472927078,32.9816350790276,3.6222817995834
2.3,0.234301594262415,33.4716513252791,3.98470559353765
2.4,0.238092104052875,34.013150569641,4.44602928524521
2.5,0.24232037639298,34.617188769051,4.97419384620397
2.6,0.24705165005693,35.2930851347604,5.54390042454494
2.7,0.252226154623005,36.0322998203052,6.02941379071527
2.8,0.257937657447416,36.8482300006869,6.63849167082958
2.9,0.264338608439592,37.7626531309732,7.76597981403562
3,0.271857131664543,38.836728622154,9.04607728736289
3.1,0.280560471631108,40.0800647849326,10.4189186236184
3.2,0.290591535567199,41.5130754913087,11.9759801008344
3.3,0.302122922401505,43.160343991303,13.9296870225815
3.4,0.315757493615353,45.107742322191,16.6216331306493
3.5,0.331831673403559,47.4036922287399,20.1800149502353
3.6,0.35016149359228,50.0250037668789,24.4006941114478
3.7,0.369322265307555,52.757781775207,28.0606112132834
3.8,0.388823388926342,55.5435769437376,29.0044675749538
3.9,0.409215728625935,58.4286020118694,27.8884324293163
4,0.429453397097328,61.3382377734822,29.5146347405935
4.1,0.449708100907423,64.2601011345409,31.1528955192215
4.2,0.469813861013792,67.1231982994662,31.3989296057373
4.3,0.489873124235994,69.9553334669915,30.5932276111036
4.4,0.509953401156667,72.8186613128977,29.6597785426611
4.5,0.530189286450181,75.7124403836094,29.0995856433375
4.6,0.550694960083435,78.6740687184152,29.3030387015086
4.7,0.571643730015258,81.6878568758087,30.6017016493133
4.8,0.592691934150506,84.7055704387435,32.7321446019155
4.9,0.613530341110548,87.6909678997803,32.8477699487253
5,0.634445680763378,90.6782681300121,29.5743212789358
5.1,0.655379707563015,93.6744154133823,29.1902821193204
5.2,0.676586006110776,96.7009762276566,30.5083250010097
5.3,0.697601929141883,99.6791687536246,31.0773879973661
5.4,0.718427920543845,102.640532667123,30.4588033804624
5.5,0.739214670399902,105.605003724582,29.5527749946686
5.6,0.759917281098873,108.592147130045,29.030815869794
5.7,0.780710903773167,111.587740513377,29.2153640900577
