"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.115012539352682,28.7531863274111,0.000265680560289538
0.1,0.11504963695224,28.7624092384407,0.0379082576822469
0.2,0.115138526383104,28.7846315961996,0.0785810386134653
0.3,0.115299827531272,28.8249568833253,0.118032611302797
0.4,0.115509576843845,28.8773942115159,0.153700088902686
0.5,0.11578127991444,28.9453199791962,0.186868424758071
0.6,0.116104332286051,29.0260830720967,0.223598728374929
0.7,0.116481586548795,29.1203966379257,0.265542480264994
0.8,0.11693550526407,29.2338763168158,0.304460549240807
0.9,0.117437250743928,29.3593126869065,0.344373445370234
1,0.118016827289324,29.5042068233904,0.388473243562634
1.1,0.118651660780066,29.662915196287,0.433916197497885
1.2,0.119380370021731,29.8450925070006,0.486160838326079
1.3,0.120188267075754,30.0470667708128,0.544460393485499
1.4,0.121095342306348,30.2738355791291,0.603736352742278
1.5,0.122087103277787,30.5217758222807,0.657527991049657
1.6,0.123155646571904,30.7889116460586,0.707948079693757
1.7,0.124320271183442,31.0800677994427,0.771508884820443
1.8,0.125595283149747,31.398820792474,0.857317939949434
1.9,0.126999486076531,31.7498715250149,0.932153337691889
2,0.128513099314626,32.1282748355727,1.00454327586348
2.1,0.130160330904589,32.540082734096,1.08918937922224
2.2,0.131924294966227,32.9810737777547,1.18272184918458
2.3,0.133884052649466,33.4710131825179,1.3010467013124
2.4,0.136049655229349,34.0124138358865,1.45165444376951
2.5,0.138465284488536,34.6163212613077,1.62407608774965
2.6,0.141168187202606,35.2920468822936,1.81004962834869
2.7,0.144124210643536,36.0310530926715,1.96853501431271
2.8,0.147386897145055,36.8467238250782,2.16734189224985
2.9,0.151043306313882,37.760827522532,2.53534693581049
3,0.15533796051335,38.8344914861841,2.95315419158191
3.1,0.160309523464542,40.0773814353606,3.40125510357573
3.2,0.166040308789287,41.5100759711774,3.90958897473005
3.3,0.172633497069757,43.1583795778754,4.54818988286954
3.4,0.180464652634133,45.1161640431702,5.43366908217603
3.5,0.189910838077404,47.4776993129162,6.64330331361815
3.6,0.201707429195117,50.4267286639203,8.29403379747471
3.7,0.215964268144505,53.9904232552071,10.1258701153323
3.8,0.232418001333394,58.1011509328411,10.7984612170646
3.9,0.249063196042371,62.2660424024408,9.88432688317275
4,0.264705209732655,66.1760491405291,10.8674586240363
4.1,0.282393102075905,70.5966501215566,12.0958582549579
4.2,0.301025341174182,75.2518005186491,12.4282222303457
4.3,0.319212742594582,79.7909584001744,11.955411124807
4.4,0.336916175754745,84.2170682143072,11.3403929894265
4.5,0.353550322658722,88.3817588080353,10.8811029202927
4.6,0.369864912454024,92.4630141466527,10.7685554557537
4.7,0.387075925656481,96.7700656630682,11.3783451687959
4.8,0.405221730242501,101.305032373672,12.7477720540158
4.9,0.424807943067639,106.200319349814,13.1165463088195
5,0.443621527942551,110.904334676194,10.5288711496064
5.1,0.459733884976834,114.931895469383,10.3733444113621
5.2,0.476446271492666,119.109372360711,11.4504382646315
5.3,0.494269133339618,123.560917685709,11.9145702957858
5.4,0.51194972396757,127.980666062344,11.5899117404366
5.5,0.529240087817749,132.299795288306,10.999465529815
5.6,0.545649044358011,136.400883161441,10.6638545907211
5.7,0.562006438321059,140.487716037083,10.7202750843166
5.8,0.579007012104911,144.733642958966,11.2832048738916
5.9,0.59690585458837,149.211478250938,12.7099021506521
6,0.616203819076805,154.053626104555,13.4060536914274
6.1,0.63522126825862,158.799759109275,10.7634934597921
6.2,0.651587114275829,162.884283561343,10.3270297652208
6.3,0.668097289179953,167.014170780997,11.3744129673078
6.4,0.685867041924919,171.457415061804,11.9813790394624
6.5,0.703666814538663,175.905474245077,11.6882104513624
6.6,0.72095516912753,180.226009579942,11.0927097333768
6.7,0.737478078791411,184.36588389204,10.6940954299999
6.8,0.753656977432375,188.413986865083,10.5383732376939
6.9,0.770275046719239,192.569210599717,10.8903970948687
7,0.787549828459893,196.88405401914,12.0568998853772
7.1,0.806285071934709,201.557315458628,12.5759601399176
7.2,0.82446742094859,206.102408853577,10.5704847636202
7.3,0.840518667349005,210.120523269551,10.1722071623831
7.4,0.856732667234868,214.182030059383,11.2191095284634
7.5,0.874235158123309,218.552474932587,11.8546310861035
7.6,0.8918911055014,222.963639025992,11.630037584224
7.7,0.908975341557431,227.232500859093,11.0687213392817
7.8,0.92539973017523,231.338739498418,10.6359811327273
7.9,0.941307450216351,235.317346342991,10.3300958048433
8,0.957670217395928,239.407261797524,10.6604742072921
8.1,0.975019849149496,243.74677957158,12.0825330218555
8.2,0.993637886459871,248.403539995946,12.7774214886823
8.3,1.01193579760305,252.979711964727,10.8169176470665
8.4,1.02802266596849,256.997290310333,9.85171295661118
8.5,1.04359980547428,260.894069706704,10.6990540498451
8.6,1.06039182027049,265.090643180621,11.4383119073153
8.7,1.07737850268537,269.336241783176,11.3014216740691
8.8,1.09381626755912,273.448274957496,10.7912773357245
8.9,1.10969940172221,277.418165435333,10.3585795223045
9,1.12506221493443,281.260592947723,10.0139601630626
9.1,1.14087010757994,285.215903180755,10.3918724752277
9.2,1.15748634454696,289.371079131347,11.7502862215448
9.3,1.17527822125682,293.811217666863,12.5235264950204
9.4,1.19288928481554,298.217765568675,10.9082155581717
9.5,1.2085508344219,302.128535997002,9.60084237064699
9.6,1.22335427941037,305.834710493194,10.3497976744448
9.7,1.2393960204794,309.844554411133,11.2539281289043
9.8,1.25572697120854,313.925665326422,11.2098646208988
9.9,1.27143951478515,317.852739747933,10.6922941766783
10,1.28638918059341,321.588324856174,10.1721132518099
10.1,1.30064252314775,325.149788375475,9.76479186839927
10.2,1.31471975580668,328.667966101845,9.86231166829717
10.3,1.3288370355794,332.196247839839,10.7251973494219
10.4,1.34338153531124,335.826997316467,11.3346613789315
10.5,1.35742010105124,339.336634752902,10.1353797040763
10.6,1.36956771018368,342.380892108426,8.76250256588645
10.7,1.38059182004673,345.141237359466,9.39716268874898
10.8,1.39232455189951,348.074295992691,10.231445811671
10.9,1.40403873289465,351.00216637362,10.1579843179295
11,1.41490335687722,353.719158039362,9.56216199495191
11.1,1.42495780392596,356.232612358263,8.95997942480373
11.2,1.43402623526345,358.498641239802,8.39949170571602
11.3,1.44255757956974,360.630775031402,8.28974629044044
11.4,1.45073741623268,362.675357637003,8.84989998159878
11.5,1.45885505741057,364.703140145796,9.22330166829278
11.6,1.4663995428842,366.588200319384,7.80693900918181
11.7,1.47199191030643,367.991634860146,5.18848747077967
11.8,1.47577524677456,368.936888094604,4.29735825925423
11.9,1.47905556229173,369.757853192401,3.98657689184946
12,1.48189570770813,370.466542114905,3.09614299638017
12.1,1.48380680439941,370.946318141288,2.06262656934242
12.2,1.48522311434086,371.301816973603,1.33776798942124
12.3,1.48614616833809,371.532925627486,0.845957006343153
12.4,1.48665177047682,371.660453726911,0.41381440076812
12.5,1.4868167760056,371.701686241254,0.0187333392721717
