"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,1.4142219904534,28.2844415387696,-0.0179135469507347
0.1,1.41455889246031,28.2910838692873,5.6338475502364
0.2,1.41544733210869,28.3088109707177,11.5092130950153
0.3,1.41693971330614,28.338605406735,17.1356758083336
0.4,1.41888851348345,28.3776269742266,22.2010829687783
0.5,1.42141456078462,28.4281150641181,27.0664236903587
0.6,1.42444246016432,28.4885892239648,32.3228794388396
0.7,1.42793084249735,28.558427385394,38.1807455264562
0.8,1.4320377070551,28.640678455714,43.7214071046893
0.9,1.43662560469756,28.7327949386402,49.375417815041
1,1.44181206194697,28.8367555643198,55.3953866827385
1.1,1.44749412579982,28.9503292145182,61.5515009274653
1.2,1.45377940271943,29.0758269655434,68.3364716273565
1.3,1.46056116649343,29.2112240995353,75.5514558313683
1.4,1.46789127735815,29.3576084067661,82.6802600596411
1.5,1.4756844380544,29.5135905331442,89.2422717103605
1.6,1.48394856027437,29.6789430010753,95.486380445087
1.7,1.49269309279297,29.853677330239,102.330794739078
1.8,1.50177126416452,30.034853570781,110.475469149722
1.9,1.51123458527526,30.2239312203626,117.932722600494
2,1.52094896593155,30.4193010706875,125.166166078915
2.1,1.53099118109502,30.6206886564822,132.797014121542
2.2,1.54124267011539,30.824969425181,140.358130457795
2.3,1.55171482957571,31.0334056041878,148.882168496713
2.4,1.56232834355136,31.2451221438284,158.184398497879
2.5,1.57305896931246,31.4601870736222,167.570987729829
2.6,1.58389117806548,31.6773516848407,176.551746324827
2.7,1.59478904346174,31.896080724789,184.281155119696
2.8,1.60580170180344,32.1165034785188,191.938925522755
2.9,1.61686259130415,32.337637806473,202.280939373251
3,1.62799841810613,32.5596118548512,212.194139368428
3.1,1.63916867506072,32.7816302562675,221.306637239095
3.2,1.65039679478416,33.0054878688239,229.773227845588
3.3,1.66161062550499,33.230345074516,237.467488012592
3.4,1.67285246702362,33.4557282692994,245.614777415484
3.5,1.68410032031951,33.6814418060436,253.603996016981
3.6,1.69534883980736,33.907196218969,260.786109181973
3.7,1.70659190931844,34.131882538788,266.330276303868
3.8,1.71774757873462,34.3544438082243,268.255996766646
3.9,1.72886733103356,34.5765613549293,267.294983271328
4,1.73985437377903,34.7964895389856,268.994111009543
4.1,1.75072876250524,35.0148706803083,270.076032385879
4.2,1.76149080383567,35.2310833309301,269.974575002086
4.3,1.77214694151201,35.443975832456,268.621089809496
4.4,1.78266889983924,35.6530280772905,266.998908290845
4.5,1.79308017900714,35.86036747002,265.88769244643
4.6,1.80337113984974,36.066508583881,265.575540196974
4.7,1.81356140144967,36.2709113802436,265.97237799633
4.8,1.82366299573954,36.4732823845492,266.926169187219
4.9,1.83363019992111,36.6722329856325,265.402563192726
5,1.8435260278175,36.8690777180335,260.853303019858
5.1,1.85324504564515,37.0629622090664,259.734367092652
5.2,1.86289394687086,37.2556413406067,259.569862696385
5.3,1.87241359280034,37.4454229060191,258.582880472309
5.4,1.88180724557919,37.632839470692,256.293532073014
5.5,1.89106100084486,37.8180900002346,253.624540241844
5.6,1.90018101504956,38.000990842669,251.404841114867
5.7,1.90918169836533,38.1819704640869,249.980710023073
5.8,1.91804759288433,38.3606420807188,249.415176461278
5.9,1.92680384176006,38.5364515098881,249.59944388975
6,1.93539512596157,38.707810277045,247.534668553647
6.1,1.94385362333313,38.8761277217199,241.957642953903
6.2,1.95214062605945,39.0409286452855,239.376643753283
6.3,1.96029863616684,39.2040094958149,238.366546339056
6.4,1.96830415866115,39.3648959508366,236.596042315149
6.5,1.97616004371667,39.522553199696,233.563550687496
6.6,1.98386795771318,39.6766031558795,230.16863169854
6.7,1.99143849653856,39.8272555288385,227.068915957414
6.8,1.99888291595933,39.9755654623301,224.521138120519
6.9,2.00620161566706,40.1220028815132,222.737776761937
7,2.01343561665441,40.2663678645234,222.010918994755
7.1,2.02051674122837,40.4078280401452,219.345685075981
7.2,2.027528596282,40.5483472047509,214.129810744667
7.3,2.03441844483158,40.6867129082635,210.844271248985
7.4,2.04123187090928,40.824204671116,209.038315530038
7.5,2.04797331878849,40.9597918279017,206.660981271782
7.6,2.05463816284822,41.0927076177924,203.17431044699
7.7,2.06122829906269,41.2243499657888,199.259606314807
7.8,2.06773839683649,41.3553612062031,195.56965966983
7.9,2.07419556558272,41.485163053146,192.305993612763
8,2.08058353206807,41.612994697871,190.081750886665
8.1,2.08692595776507,41.7392682297079,188.961368238305
8.2,2.09318081831956,41.8632385267124,185.960259404287
8.3,2.09938307244039,41.9859739775912,180.21897897143
8.4,2.10549482309777,42.1064586763997,175.792999196806
8.5,2.11153157364173,42.2261211618875,173.351472078311
8.6,2.1174981130884,42.3450682891132,170.665605580925
8.7,2.12337629697156,42.4626999405431,166.932156869276
8.8,2.12916725542621,42.5796158936105,162.731173983611
8.9,2.13485913974683,42.6954590370802,158.652388284285
9,2.14047752592792,42.8097430155576,154.84885091986
9.1,2.14599117440616,42.9213982288862,152.420340941003
9.2,2.15142241885268,43.0310607355105,150.830620083603
9.3,2.15674438540298,43.1385829064059,147.640957444486
9.4,2.16198323532172,43.2433224791317,141.844090254844
9.5,2.16712432059258,43.3448001431395,136.586174286045
9.6,2.17216312844468,43.4436698708867,133.51023000273
9.7,2.17709615150105,43.5410996569238,130.364158028388
9.8,2.18191838771865,43.6369122737369,126.063321528516
9.9,2.18664193177716,43.7314164735832,121.133725384615
10,2.19125660825675,43.8238588233116,116.267460071538
10.1,2.19577232128636,43.9140768231377,111.612727174998
10.2,2.20017797855641,44.0019543384787,108.171024752955
10.3,2.20447141350032,44.0885525741032,105.71035137688
10.4,2.20864231071561,44.1728312815809,102.272018953357
10.5,2.21270564359546,44.254713631705,96.5175170098831
10.6,2.21666518438396,44.3334591725092,90.6579589284682
10.7,2.22050915649425,44.4095614830408,87.4331105446457
10.8,2.22421955217139,44.4836840368901,84.3846879175927
10.9,2.22778008011507,44.5556039155385,79.9550657845111
11,2.23119975415253,44.62460603049,74.6709070615178
11.1,2.23446120322872,44.6903015053743,69.3784476693916
11.2,2.23756722400635,44.7529557661761,64.0277660606643
11.3,2.24050365088767,44.8123017611174,59.54195203482
11.4,2.24327137274494,44.8681148287958,56.0798050288752
11.5,2.245862512235,44.9196263902824,52.1427138838162
11.6,2.24826175220929,44.9671507023935,45.5964140845141
11.7,2.25045968588551,45.0109135449741,36.9227652356496
11.8,2.25244574421988,45.0516160332222,30.4725314136755
11.9,2.254194620637,45.0854386810187,25.7745857355509
12,2.25567470728825,45.1148426795487,20.4857195980438
12.1,2.25685752829458,45.1388814224241,15.1540120221418
12.2,2.25774668223657,45.1569673187223,10.748200584928
12.3,2.25837200115898,45.169987308449,6.97770819941108
12.4,2.25874463383895,45.1776041575576,3.44503890534262
12.5,2.25886958225446,45.1800624324279,0.0760138170700366
