"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [mNewtonMeter]"
0,0.0287530865866502,28.7530898031033,0.0166048140979701
0.1,0.0287623125482419,28.7623125482627,2.36924786443987
0.2,0.0287845345546273,28.7845345546549,4.91127611112078
0.3,0.028824859191104,28.8248591911337,7.37697891388186
0.4,0.028877295669935,28.8772956699697,9.60617780853549
0.5,0.0289452203357232,28.9452203357587,11.6791823644543
0.6,0.0290259821238607,29.0259821238958,13.9748066863025
0.7,0.0291202941394771,29.1202941395212,16.5962669325118
0.8,0.0292337719195152,29.2337719195676,19.0286239025893
0.9,0.0293592061675071,29.3592061675635,21.5231563892147
1,0.029504097801593,29.5040978016579,24.2793658186177
1.1,0.0296628033743328,29.6628033744123,27.1195202760675
1.2,0.0298449773678497,29.8449773679483,30.3847726293645
1.3,0.0300469478272737,30.0469478273956,34.0284488653277
1.4,0.0302737121946464,30.2737121948083,37.7331460811678
1.5,0.0305216474069145,30.5216474070921,41.0950755644066
1.6,0.0307887776354934,30.7887776356855,44.2462842765384
1.7,0.0310799274653719,31.0799274655983,48.2187684154579
1.8,0.0313986731142313,31.3986731145479,53.5817358313944
1.9,0.0317497153300892,31.7497153304616,58.2588563073792
2,0.0321281089651619,32.1281089655898,62.7831311068294
2.1,0.0325399057148206,32.5399057153165,68.0733899410543
2.2,0.0329808840982837,32.9808840989371,73.9190182549851
2.3,0.0334708079553465,33.4708079562021,81.3141106732768
2.4,0.0340121893828233,34.0121893839758,90.726786902419
2.5,0.0346160715882033,34.6160715899357,101.502707862914
2.6,0.0352917616591899,35.2917616613818,113.125411858629
2.7,0.0360307204390791,36.0307204418818,123.030047960015
2.8,0.0368463267162915,36.846326719768,135.454260630085
2.9,0.0377603321120944,37.7603321183875,158.45166887511
3,0.0388338319652174,38.8338319756637,184.559665438648
3.1,0.0400764546934391,40.0764547096743,212.557891274306
3.2,0.0415087374459711,41.5087374704952,244.316326095643
3.3,0.0431564282660664,43.1564283057825,284.208047929
3.4,0.0451133135436842,45.113313614887,339.514996546668
3.5,0.047473548458017,47.4735486346741,415.059110129615
3.6,0.0504212037457624,50.4212041524766,518.160208607397
3.7,0.05399005655899,53.990058352024,632.926913942517
3.8,0.05814461522608,58.1446142599059,675.762249410554
3.9,0.0623561616057334,62.3561696209979,617.199102842305
4,0.0662818963384234,66.2819001026911,680.075959474646
4.1,0.0708176936534719,70.8176959315231,759.387905881103
4.2,0.0756598941158792,75.6598934303805,781.268732845871
4.3,0.0803852803660808,80.3852712644017,751.21616851403
4.4,0.0850011522964438,85.001151890205,712.396164068762
4.5,0.0893105752722528,89.310580042155,682.960538457041
4.6,0.0934948627579331,93.4948695289207,674.087628393241
4.7,0.0978772089990165,97.8772072728132,712.020255861058
4.8,0.102550603969954,102.550616915698,801.935632230362
4.9,0.107743504848191,107.743509296938,826.853943220693
5,0.112567879626107,112.567869313952,647.491361925357
5.1,0.116461651752054,116.461642360881,645.990117437685
5.2,0.12069206822237,120.692054211816,717.250560300124
5.3,0.125309831178302,125.309795210065,747.331148317506
5.4,0.129880496347333,129.880433119693,726.086980815956
5.5,0.134332743113534,134.332700440689,687.575028543199
5.6,0.138494957632514,138.494949098858,665.714794685456
5.7,0.142648135447364,142.648130559727,669.121160000627
5.8,0.146969753112106,146.96975623713,704.359599216731
5.9,0.151575136918961,151.575114679194,798.574330404981
6,0.15678500319189,156.784977254612,847.568577485891
6.1,0.161754474586457,161.754423239343,660.498070018954
6.2,0.165701219980428,165.70116482264,640.394228287401
6.3,0.169833028299601,169.833001372643,709.907937759208
6.4,0.17443892562802,174.438896342035,749.981417476856
6.5,0.179063589109243,179.063559883409,730.533996438974
6.6,0.1835126267719,183.512615426124,691.208999168211
6.7,0.187702536928494,187.702498021719,665.504528889458
6.8,0.191799192026478,191.799120124561,655.570351783102
6.9,0.196018825364489,196.018751317988,677.826009742898
7,0.200446152145355,200.446094879859,753.613819284577
7.1,0.205428940960744,205.428871794581,789.187666797588
7.2,0.210145747439122,210.145709201653,650.257419004235
7.3,0.21406309199918,214.063069197665,629.370963270623
7.4,0.218131998481611,218.1319789826,698.721429343491
7.5,0.222672511862487,222.672503885152,740.321759201169
7.6,0.227265597132727,227.265619308557,725.280386234121
7.7,0.231651748303449,231.65180120352,688.221361544244
7.8,0.235812384220399,235.812447508465,660.108139738853
7.9,0.239802311587674,239.802342115527,640.123037338805
8,0.243923690604403,243.923663778632,660.601836573432
8.1,0.248378105359388,248.377964173703,753.987128061247
8.2,0.25338939677586,253.389130453029,802.880220078785
8.3,0.258212044101817,258.211689850237,664.131508045366
8.4,0.26211915678436,262.118759660648,606.528913089036
8.5,0.265972840869094,265.972418244699,663.777433872577
8.6,0.270321187017634,270.320738342378,712.983846047696
8.7,0.274769874138531,274.769403065666,704.206059801352
8.8,0.279025399005481,279.024962315992,670.632752795115
8.9,0.283074681435113,283.074315135764,642.844031876398
9,0.286962607169391,286.962317312026,620.370175933874
9.1,0.291000380963624,291.000173201728,644.412889546619
9.2,0.295330980373562,295.330865954785,734.395805664023
9.3,0.300212762397764,300.212787115891,789.160338897919
9.4,0.305007186054779,305.007470244169,673.842475237731
9.5,0.308921301475586,308.921837175036,591.920415813644
9.6,0.312630838028305,312.631602706375,643.789576275794
9.7,0.316890421025761,316.891421027749,705.049533534608
9.8,0.321313915004989,321.315093008024,702.964114426192
9.9,0.325558530853343,325.559826192247,670.09087409357
10,0.329600048221679,329.601401753832,637.56779392658
10.1,0.333493748208714,333.495103886548,612.822548600463
10.2,0.337425385231563,337.426707389364,620.691453579101
10.3,0.34151011373124,341.511379275531,680.303184390688
10.4,0.345983003843293,345.984153226657,725.59186946683
10.5,0.350449144878609,350.450166080324,644.948976294411
10.6,0.354219177613796,354.220072626553,558.085757905455
10.7,0.357721420288524,357.722202814742,606.327178935781
10.8,0.361747511977238,361.748188073407,667.711930802396
10.9,0.365949232219959,365.949824206213,667.835450628978
11,0.36994869187821,369.949247523718,632.518841064148
11.1,0.373800990405065,373.801517796652,596.730738199992
11.2,0.377407982288127,377.408462510205,563.909359315955
11.3,0.380995032043949,380.9954410247,561.975279404819
11.4,0.384669931208916,384.670254724068,608.490314245226
11.5,0.388639147234841,388.639382847401,643.942248511492
11.6,0.392564840846462,392.56498901064,546.479003679641
11.7,0.395447109310835,395.447199681489,363.961461851274
11.8,0.397399794008735,397.399852306948,304.492099335014
11.9,0.399189215713988,399.189258468531,284.840588592797
12,0.400797975166103,400.797993973098,222.156787577141
12.1,0.401879295416652,401.87928279058,148.250673746844
12.2,0.402700924197747,402.700895416637,96.1859347337904
12.3,0.403238812019353,403.238775850534,60.881672889435
12.4,0.403536672159051,403.536634715788,29.8278952293691
12.5,0.403635261203406,403.635219621976,1.43405460435957
