"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,1.88722062894013,23.5890259096888,0.0171705386011216
0.1,1.88738189662157,23.5909772338983,9.75799861368643
0.2,1.88780831396384,23.5964108508027,19.6815779821367
0.3,1.88853400727478,23.605700820216,29.1346086629782
0.4,1.88951534940382,23.6181843894331,37.8884273770211
0.5,1.89080268981459,23.6343950912561,46.477205660819
0.6,1.89235046987009,23.6537788834307,55.2010859630385
0.7,1.89412580341133,23.6758216172644,64.4368954293226
0.8,1.89618486588168,23.701334646146,73.5112685893605
0.9,1.89846993448685,23.7297612009209,82.9239418126999
1,1.90104059014693,23.7618745567621,92.6223350841485
1.1,1.90383926181645,23.797240009808,102.151265445157
1.2,1.90689734890178,23.8359963826633,112.153696702821
1.3,1.91016727798718,23.8773055339395,122.343791779532
1.4,1.91365302733198,23.9208093001448,132.240776750411
1.5,1.9173262057778,23.9663102225077,141.443158888225
1.6,1.92119326980132,24.0141258734613,150.38245958401
1.7,1.92526108836475,24.0648628574709,159.68376996638
1.8,1.9294942993438,24.1177171404379,169.894811545097
1.9,1.93390175009411,24.1726472145742,179.23917665743
2,1.93844958433223,24.2294704786535,188.474861699842
2.1,1.94316076679588,24.2885134250324,197.980862043839
2.2,1.94801216115484,24.3495517990388,207.108409790995
2.3,1.9530148718295,24.4123731845221,217.121814299711
2.4,1.95814841420314,24.4764770434816,227.702968992898
2.5,1.96340826554023,24.542296156678,238.192891840905
2.6,1.96878114761044,24.6098210723967,248.16764286515
2.7,1.97426179411915,24.6782921195441,256.838548845333
2.8,1.97986599120192,24.7481712165719,265.341831630981
2.9,1.98555376842708,24.8191615474742,276.375218192141
3,1.99134350768855,24.8912566413598,286.824780365356
3.1,1.99721334722032,24.9645561467793,296.543130770954
3.2,2.00317011396444,25.0394423994427,305.480603410171
3.3,2.00920412680881,25.1153719574324,313.471893153427
3.4,2.015322041606,25.1919130992364,321.898607102545
3.5,2.02151264807907,25.2690910535897,330.066495936987
3.6,2.02776598837025,25.347218216117,337.278833270959
3.7,2.03407021471536,25.4262219519848,342.729102038168
3.8,2.04040300489029,25.5056260946319,344.407851192398
3.9,2.04678431877004,25.5854958261276,343.102358009257
4,2.05317328505438,25.6651330620539,344.499994958823
4.1,2.05959177861148,25.7447680402465,345.211495704203
4.2,2.06602964966465,25.8247062582168,344.773291526913
4.3,2.07248157178414,25.9052935375788,343.020712552695
4.4,2.07893235616759,25.9862381620366,340.959513055646
4.5,2.08539930813764,26.0674387342601,339.448247968705
4.6,2.0918721629446,26.1486199068767,338.775611331376
