Time [ms],FluxLinkage(PhaseA) [Wb]
5,0.621757478
5.1,0.601098885
5.2,0.581685642
5.3,0.563895878
5.4,0.547850187
5.5,0.534077703
5.6,0.521973728
5.7,0.511193237
5.8,0.501998726
5.9,0.49275205
6,0.48431289
6.1,0.477096154
6.2,0.47043021
6.3,0.464451754
6.4,0.45900496
6.5,0.453695696
6.6,0.44890189
6.7,0.444573375
6.8,0.440632996
6.9,0.437119175
7,0.433788614
7.1,0.430640375
7.2,0.427963611
7.3,0.425536105
7.4,0.423407914
7.5,0.421563369
7.6,0.419821073
7.7,0.418359062
7.8,0.417122058
7.9,0.416125465
8,0.415349703
8.1,0.414757974
8.2,0.414274436
8.3,0.414098725
8.4,0.414128069
8.5,0.414409223
8.6,0.414990157
8.7,0.415594972
8.8,0.416456949
8.9,0.417546756
9,0.418882441
9.1,0.420418114
9.2,0.422209827
9.3,0.424146437
9.4,0.426388255
9.5,0.428890549
9.6,0.431720945
9.7,0.435038973
9.8,0.438358798
9.9,0.442042111
10,0.446147691
10.1,0.450627387
10.2,0.45559641
10.3,0.461015085
10.4,0.466607767
10.5,0.472836991
10.6,0.479686851
10.7,0.487305302
10.8,0.496341505
10.9,0.505381594
11,0.515116179
11.1,0.526544887
11.2,0.539156147
11.3,0.553805883
11.4,0.570575393
11.5,0.588652081
11.6,0.607963002
11.7,0.628528884
11.8,0.649808693
11.9,0.672846504
12,0.696265935
12.1,0.719546205
12.2,0.743570315
12.3,0.767722985
12.4,0.791797227
12.5,0.816177829
12.6,0.840781677
12.7,0.865536608
12.8,0.890413663
12.9,0.915315867
13,0.940447767
13.1,0.965467772
13.2,0.990099815
13.3,1.015353865
13.4,1.040796366
13.5,1.066083141
13.6,1.091381985
13.7,1.116662191
13.8,1.141866852
13.9,1.167115986
14,1.192466671
14.1,1.217973043
14.2,1.243428523
14.3,1.268370764
14.4,1.293866457
14.5,1.319483587
14.6,1.344900295
14.7,1.370160199
14.8,1.395360915
14.9,1.420512527
15,1.44568474
15.1,1.470823256
15.2,1.496043003
15.3,1.521206365
15.4,1.545833344
15.5,1.570776902
15.6,1.595758878
15.7,1.620513053
15.8,1.644903232
15.9,1.669070188
16,1.692912183
16.1,1.716457504
16.2,1.739706529
16.3,1.762612408
16.4,1.785135636
16.5,1.806809972
16.6,1.82836809
16.7,1.849845257
16.8,1.870996399
16.9,1.891752084
17,1.912234282
17.1,1.932361027
17.2,1.952203742
17.3,1.971623254
17.4,1.990396042
17.5,2.008347245
17.6,2.025067302
17.7,2.041122752
17.8,2.056632281
17.9,2.071455163
18,2.085512335
18.1,2.098907137
18.2,2.11165542
18.3,2.123827023
18.4,2.135427762
18.5,2.146478257
18.6,2.156995305
18.7,2.166929947
18.8,2.176406054
18.9,2.18542382
19,2.193931829
19.1,2.201864751
19.2,2.209333012
19.3,2.216266496
19.4,2.222671516
19.5,2.228521011
19.6,2.233869165
19.7,2.238741601
19.8,2.243178932
19.9,2.247162683
20,2.250600404
20.1,2.253431995
20.2,2.255799533
20.3,2.257705152
20.4,2.259182132
20.5,2.260254651
20.6,2.260944336
20.7,2.26135784
20.8,2.26152791
20.9,2.261466481
21,2.261189231
21.1,2.2606564
21.2,2.259823918
21.3,2.25862078
21.4,2.256979167
21.5,2.254926862
21.6,2.252474045
21.7,2.249451539
21.8,2.24578572
21.9,2.24161332
22,2.237017691
22.1,2.231990955
22.2,2.226483021
22.3,2.220433446
22.4,2.213834738
22.5,2.206712747
22.6,2.199076672
22.7,2.190961123
22.8,2.182403299
22.9,2.173290798
23,2.163621926
23.1,2.153423607
23.2,2.142777995
23.3,2.13162509
23.4,2.119882643
23.5,2.107529771
23.6,2.094554234
23.7,2.080926317
23.8,2.066592581
23.9,2.05164706
24,2.035986544
24.1,2.019641993
24.2,2.00233347
24.3,1.984173037
24.4,1.965262087
24.5,1.9457454
24.6,1.925807975
24.7,1.905558841
24.8,1.885009407
24.9,1.864085084
25,1.842951529
