"Time [ms]","FluxLinkage(PhaseA) [Wb]"
5,0.716982377543354
5.1,0.695910834266415
5.2,0.675873255124892
5.3,0.656737439120109
5.4,0.638826968126411
5.5,0.623021890763262
5.6,0.608976675761997
5.7,0.596432077200065
5.8,0.585716158877711
5.9,0.574934412605485
6,0.565089055366772
6.1,0.556668132471458
6.2,0.54888931471512
6.3,0.541912398256757
6.4,0.535555773832651
6.5,0.529359601160033
6.6,0.523764854020656
6.7,0.518713038433209
6.8,0.514114167592253
6.9,0.510013127919979
7,0.506125960030862
7.1,0.502451582937846
7.2,0.499327485630017
7.3,0.496494306258271
7.4,0.494010462942314
7.5,0.491857654857056
7.6,0.489824181295829
7.7,0.48811782927047
7.8,0.486674090495125
7.9,0.485510935703848
8,0.484605523460698
8.1,0.483914889936909
8.2,0.483350521599612
8.3,0.48314543629799
8.4,0.483179679798531
8.5,0.483507823131673
8.6,0.484185856232824
8.7,0.484891744801025
8.8,0.485897773431768
8.9,0.487169714051798
9,0.488728622091933
9.1,0.49052093968281
9.2,0.492612083997421
9.3,0.494872335986229
9.4,0.49748879303674
9.5,0.500409259123626
9.6,0.503712661653227
9.7,0.507585199057732
9.8,0.511459808830571
9.9,0.515758633178522
10,0.520550265397555
10.1,0.525778442953384
10.2,0.531577536735897
10.3,0.53790124445978
10.4,0.544427935059058
10.5,0.551696888403327
10.6,0.559689123119396
10.7,0.568575658491311
10.8,0.579108299907917
10.9,0.589635563023316
11,0.600958293216542
11.1,0.614194887166488
11.2,0.628684859638392
11.3,0.645094468929163
11.4,0.663219770037121
11.5,0.68233611394252
11.6,0.702451502216421
11.7,0.723479245651086
11.8,0.745164006475036
11.9,0.768540486250912
12,0.791937006648919
12.1,0.814993168186515
12.2,0.838677124066892
12.3,0.862799111918915
12.4,0.886972997569443
12.5,0.911392536726885
12.6,0.935993540154563
12.7,0.960785132542201
12.8,0.985563861633938
12.9,1.01012806876096
13,1.03505259744262
13.1,1.06006395290925
13.2,1.08475882821848
13.3,1.10994283434488
13.4,1.13514481267555
13.5,1.16018683347293
13.6,1.18519685491639
13.7,1.21021930795584
13.8,1.23534776623324
13.9,1.26051302746801
14,1.28555397591612
14.1,1.31087997087287
14.2,1.33627064205444
14.3,1.3611397127878
14.4,1.38641217317245
14.5,1.41168139659398
14.6,1.43679982931779
14.7,1.46180208542748
14.8,1.4868368953448
14.9,1.51176541106121
15,1.53662646185489
15.1,1.5613960024021
15.2,1.5861177809921
15.3,1.61080663662175
15.4,1.6348986392955
15.5,1.65914006946381
15.6,1.68333547797115
15.7,1.70708620132926
15.8,1.73038569338863
15.9,1.75328172375267
16,1.77576766652305
16.1,1.7979763104212
16.2,1.81992471231894
16.3,1.84161416248042
16.4,1.86313320110105
16.5,1.883910349246
16.6,1.90469529367931
16.7,1.92539932507186
16.8,1.94574542716045
16.9,1.96548487508828
17,1.98454664792199
17.1,2.00274874438418
17.2,2.02021065406611
17.3,2.03700660012702
17.4,2.05318220618549
17.5,2.06879792745693
17.6,2.08354728125547
17.7,2.09794375408308
17.8,2.11202226427389
17.9,2.1256582957634
18,2.13875093330623
18.1,2.15139081849502
18.2,2.16357115677172
18.3,2.17534840425337
18.4,2.18671233919257
18.5,2.19765224021734
18.6,2.20814201614597
18.7,2.21805895427566
18.8,2.22748708508127
18.9,2.23644722144919
19,2.24486180119329
19.1,2.25269096220659
19.2,2.26001993908583
19.3,2.26677533879173
19.4,2.2729958136616
19.5,2.27867285848892
19.6,2.28384803920275
19.7,2.28853546336566
19.8,2.29277353561111
19.9,2.29654893764994
20,2.29979897562268
20.1,2.30249481008122
20.2,2.30475780606944
20.3,2.30660747672467
20.4,2.30807538211223
20.5,2.30918663560293
20.6,2.3099492347142
20.7,2.31041355141947
20.8,2.31060799686739
20.9,2.31054755585296
21,2.31024031218261
21.1,2.30963907966152
21.2,2.30874792259706
21.3,2.30751920590199
21.4,2.30590867580948
21.5,2.30393286619425
21.6,2.30159103185175
21.7,2.2987311024146
21.8,2.29529288161194
21.9,2.29135004091611
22,2.28695541546228
22.1,2.28210471659055
22.2,2.27675904427873
22.3,2.27087932365271
22.4,2.26446056618745
22.5,2.25751122095618
22.6,2.24999718267877
22.7,2.24194595090703
22.8,2.23342928595516
22.9,2.22435988887515
23,2.21473122897029
23.1,2.2045673775832
23.2,2.19397544145281
23.3,2.18296774246232
23.4,2.17151270825869
23.5,2.15962182558502
23.6,2.14729366040825
23.7,2.1345061888761
23.8,2.12122233892489
23.9,2.1075297837796
24,2.09338094262354
24.1,2.07878886560647
24.2,2.06359998603591
24.3,2.04786911742924
24.4,2.03154666992003
24.5,2.01457886234257
24.6,1.9968914205057
24.7,1.97839645890307
24.8,1.95910781509111
24.9,1.93909335825494
25,1.91871853025177
