"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5067216988048,-0.0619069458935597
8.4,34.5091663160573,0.133595999038336
8.5,34.5325874791928,0.324564506108299
8.6,34.5809809130511,0.51932584769555
8.7,34.631363486963,0.674697027815571
8.8,34.7031675575757,0.837327036929542
8.9,34.7939495828974,1.00333339622752
9,34.9052117533009,1.20164412927156
9.1,35.0331307703848,1.39180421394912
9.2,35.1823757282174,1.58038625617634
9.3,35.3436872027937,1.7764166408062
9.4,35.530418219895,1.99892595781943
9.5,35.738840761429,2.24462411777208
9.6,35.9745854321803,2.51915137345625
9.7,36.2509356159692,2.82764484433998
9.8,36.5274331422805,3.06599233048798
9.9,36.8341970754031,3.3156248960638
10,37.176118013309,3.58161369473304
10.1,37.5491865126464,3.96489924984197
10.2,37.9629942898845,4.34210884688156
10.3,38.4142354387153,4.71114258773986
10.4,38.8799441994212,5.0508589011012
10.5,39.3986464830105,5.48837968777598
10.6,39.9690173816942,6.05420210899209
10.7,40.6033822815935,6.74343709442669
10.8,41.3558351592169,7.64598051654203
10.9,42.1086821437223,8.35240491450101
11,42.9195260741346,9.05944164462678
11.1,43.8723539658539,9.96651840469901
11.2,44.9257978814949,11.4082734405329
11.3,46.1594929458326,13.4220082928724
11.4,47.6018937937231,15.5501665400777
11.5,49.2240380351106,17.831696100525
11.6,51.1227809053457,20.8802209525956
11.7,53.3420079304872,24.8704544146529
11.8,55.912806683386,30.265900717387
11.9,58.7324375263444,36.0591861174995
12,61.4712389519503,39.4874391735492
12.1,64.2380873818501,40.7604064810856
12.2,67.2684978974095,41.3044897811993
12.3,70.3816443005591,42.1253732742759
12.4,73.4087742483032,44.1288976966168
12.5,76.3923909183604,44.8307985586445
12.6,79.3746419599699,44.1184540192222
12.7,82.4034185425608,43.0002072265208
12.8,85.4956313900399,42.6149566364453
12.9,88.655127966064,43.7353762767203
13,91.8485786576204,45.6303737553179
13.1,94.9786013408773,46.5466274831347
13.2,98.0394679597034,45.488971861437
13.3,101.195957523528,43.925200424621
13.4,104.38530857291,42.7036922812314
13.5,107.57071042336,43.9536853317864
13.6,110.763891701757,45.0495860563618
13.7,113.955940113041,44.5999420718584
13.8,117.111686991746,43.4573185351342
13.9,120.261834534367,42.7975483213296
14,123.449308309222,43.5610668709324
14.1,126.642332558094,45.3011589993094
14.2,129.822457374149,46.3995384820827
14.3,132.96833452179,45.5062642812298
14.4,136.130519744,43.983533852022
14.5,139.32948060339,42.6376227568955
14.6,142.521433655257,43.6313327628225
14.7,145.69864261131,44.9662907965701
14.8,148.868362740461,44.6826424079167
14.9,152.020519398453,43.4517996983807
15,155.169288512086,42.5122048233234
15.1,158.319370432385,42.6745069950949
15.2,161.457022335801,44.0438062823627
15.3,164.60868345204,45.1912726846043
15.4,167.703235455995,44.505359503905
15.5,170.830395086338,43.1578555129206
15.6,174.021257518035,41.8919214676659
15.7,177.203237446296,42.6320814553619
15.8,180.341158095629,44.1238800954991
15.9,183.453547184054,43.9138190458264
16,186.560937655242,42.7192325592473
16.1,189.663472628561,41.8791029117986
16.2,192.755210898446,42.0112771176579
16.3,195.837379062151,43.4383239966913
16.4,198.894461149444,44.7464210587481
16.5,201.868525592262,44.1110273801396
16.6,204.831112543165,42.4069805883335
16.7,207.800231972531,40.6300354661751
16.8,210.704172123588,40.4604234570451
16.9,213.529627656424,41.9283799798258
17,216.287833706605,41.5427353937261
17.1,219.005264421083,40.2269709442218
17.2,221.670317548663,38.9571332823655
17.3,224.249907064841,38.6056364576807
17.4,226.77415173381,39.522122444542
17.5,229.253406133658,40.5631248533583
17.6,231.643393450668,39.7208393066946
17.7,233.987742226303,37.6028315163201
17.8,236.312083274055,35.3804292134531
17.9,238.577600161942,34.831179339978
18,240.759276601064,36.4319432585077
18.1,242.877902517998,35.9354957643811
18.2,244.914557270971,33.9743035044279
18.3,246.859851905315,32.051420197927
18.4,248.704938275054,30.8560857973688
18.5,250.428758770053,30.5239778841327
18.6,252.030320243066,30.7297931641537
18.7,253.49715970487,29.9548699212563
18.8,254.864701210472,27.9874386528006
18.9,256.149659801463,25.6967295385203
19,257.347682959847,24.3662723838551
19.1,258.43388792271,25.5303202055009
19.2,259.440816823836,24.8964456540752
19.3,260.371282286377,23.0855411640149
19.4,261.216058191425,21.109709635155
19.5,261.985061556264,19.6221778139529
19.6,262.686263265634,19.0854466238023
19.7,263.322505481278,18.911040676411
19.8,263.900868668775,18.0887855324261
19.9,264.419492900844,15.7777346057004
20,264.855996757691,12.3746640415693
20.1,265.193795818691,8.95950878540832
20.2,265.45359588752,8.24443908714117
20.3,265.65772423336,6.74010265411211
20.4,265.810136304271,4.89042862503164
20.5,265.91840150639,3.25734506699678
20.6,265.996238392891,1.98486837458867
20.7,266.04706961874,0.961638320411218
20.8,266.065258285779,0.0838728167078535
