"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5062711849385,-0.00870548735074733
8.4,34.5087152794167,0.0187862275880036
8.5,34.5321342727426,0.0456403065272468
8.6,34.5805236881215,0.0730276967796612
8.7,34.6309019042198,0.094876031838662
8.8,34.7026998285923,0.117745091424231
8.9,34.793474083911,0.141088908497159
9,34.9047265069091,0.168975155043956
9.1,35.0326340864074,0.195715375009119
9.2,35.1818653612836,0.222233573753601
9.3,35.3431618258795,0.249799034913586
9.4,35.5298747424087,0.281087789201475
9.5,35.7382765415662,0.315637181807317
9.6,35.9739959965063,0.354240130273923
9.7,36.250313913119,0.397618905236699
9.8,36.5267776823492,0.43113383650842
9.9,36.8335013869961,0.466235360737954
10,37.1753733376273,0.503636203667151
10.1,37.5483829131388,0.557528728436779
10.2,37.9621153377396,0.610566691001285
10.3,38.4132673254595,0.662454145118166
10.4,38.8788819762687,0.710218359615929
10.5,39.3974655723059,0.771731946622594
10.6,39.9676895250475,0.851281185020447
10.7,40.6018650691582,0.948176302046309
10.8,41.3540476898785,1.07505045484368
10.9,42.1066060044192,1.17435155586418
11,42.9171059005871,1.27373454234463
11.1,43.8694583650204,1.4012220980881
11.2,44.9223208313752,1.60384442997659
11.3,46.1553072109964,1.88685030215812
11.4,47.5969754746167,2.18596847123054
11.5,49.2191629816771,2.50690476617322
11.6,51.1248433490834,2.93799839983164
11.7,53.3874447953057,3.51465718976999
11.8,56.243100299623,4.39075853507169
11.9,59.8519080844327,5.57689667287045
12,63.6758737567107,6.43115204507544
12.1,67.9646523342867,6.7465178568978
12.2,72.9862217826122,6.79530304329431
12.3,77.9449592776434,6.98832272863723
12.4,83.3089324984966,7.83258434349192
12.5,88.9236571411361,8.20498469858599
12.6,94.7446545058375,7.99999522407968
12.7,100.2971935778,7.51097061645051
12.8,105.49106568487,7.26816500319545
12.9,110.674747487265,7.41366923226569
13,115.89793514661,7.96180740496506
13.1,121.468906710166,8.40161192550665
13.2,127.157597634236,8.07612559164736
13.3,132.92644184556,7.30128134000014
13.4,138.058440593626,6.7537707583942
13.5,143.222179686703,7.37231021439833
13.6,148.614513804768,7.95850193893019
13.7,154.24697578187,7.84762219312863
13.8,159.739023133127,7.45525178545766
13.9,164.904564373321,7.18057685947421
14,170.026838017881,7.29851255450775
14.1,175.299261060823,7.86116717432269
14.2,180.755797963369,8.31500866105154
14.3,186.367771971258,8.07396215809923
14.4,192.120155986499,7.32385165775547
14.5,197.330006608821,6.7040382292276
14.6,202.425678518054,7.23284890517809
14.7,207.807301636245,7.94474312898161
14.8,213.416299081751,7.88244095800222
14.9,218.94052720077,7.46688016396581
15,224.082176618579,7.15418065163361
15.1,229.206766543263,7.15091377333469
15.2,234.364013614324,7.59083934980366
15.3,239.731329232108,8.04929547316494
15.4,245.115609339741,7.85618371324087
15.5,250.654997441651,7.24577708689266
15.6,255.845298114701,6.70246060768519
15.7,260.849212770318,7.10988008675995
15.8,266.188208925459,7.83740876219608
15.9,271.690849961616,7.77513578659576
16,277.13666421761,7.36436791284425
16.1,282.264339089011,7.06749349079682
16.2,287.342306386338,7.03697656555214
16.3,292.444197711316,7.53268991473726
16.4,297.766292493392,8.06961633473859
16.5,303.180622862249,7.97451476305537
16.6,308.774920194114,7.3362996551031
16.7,314.038924530025,6.6493029525142
16.8,318.85955608433,6.77096947669222
16.9,324.031527345632,7.64312253026265
17,329.372590323648,7.61235814811364
17.1,334.733144668683,7.23578639701306
17.2,339.761975523218,6.90326569779399
17.3,344.688199411843,6.85353802378483
17.4,349.647578088748,7.29713123808755
17.5,354.816133906578,7.91311045598248
17.6,360.076439672291,7.86895438749779
17.7,365.537013305789,7.19488657071088
17.8,370.707882927813,6.41931401042992
17.9,375.287328904956,6.54932433103839
18,380.402532118711,7.65558062740247
18.1,385.775508035541,7.73612639418321
18.2,391.173661720642,7.27497273332334
18.3,396.175175778735,6.8571212746108
18.4,401.014017310106,6.70878455497386
18.5,405.761120048092,6.85374784378928
18.6,410.628240354812,7.27933174935608
18.7,415.483029307284,7.39997240847824
18.8,420.544793044439,6.92478956830473
18.9,425.505360200641,6.24662301665323
19,429.820067705456,6.21836842950435
19.1,434.68469820483,7.1783196071066
19.2,439.681578561213,7.28285101134719
19.3,444.648055778309,6.88487554418717
19.4,449.292569258326,6.4329087949458
19.5,453.676633170029,6.18326038879631
19.6,457.943070634318,6.29785198822711
19.7,462.151529568488,6.58693355603997
19.8,466.404990544713,6.59364376076245
19.9,470.775563135335,5.83011320641389
20,474.579109377411,4.51386624497771
20.1,477.205785155417,3.27292113174543
20.2,479.634885017321,3.15541141343796
20.3,481.505559014587,2.61755227424922
20.4,483.041208279011,1.894703023522
20.5,484.149614662826,1.22971133626856
20.6,484.779709242392,0.731479745764833
20.7,485.156992453134,0.336989603581865
20.8,485.261193986345,0.00877830622248229
