"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5064799949047,-0.0348224053689592
8.4,34.5089241724837,0.0751460262161367
8.5,34.5323438494686,0.182563872343949
8.6,34.5807346646751,0.292115050625763
8.7,34.6311143221534,0.379509616002241
8.8,34.7029143115064,0.470987163254404
8.9,34.793691210001,0.564363823302234
9,34.9049469295005,0.675910694240724
9.1,35.0328584028287,0.782873303715161
9.2,35.1820943383693,0.888947910180213
9.3,35.343395971908,0.999211756816777
9.4,35.5301150907075,1.1243692338062
9.5,35.7385241247829,1.26256974653781
9.6,35.9742523257773,1.41698518001996
9.7,36.2505811769643,1.59050483084361
9.8,36.5270564977749,1.72456844401516
9.9,36.8337941018564,1.86497905030315
10,37.1756827837439,2.01458800723947
10.1,37.5487123832157,2.23016714213238
10.2,37.9624703650453,2.44232938329151
10.3,38.4136532869787,2.64989115238461
10.4,38.8792994992788,2.84096005319432
10.5,39.3979246306032,3.08703295135352
10.6,39.9682015401844,3.40525842198821
10.7,40.6024496530616,3.79288268260165
10.8,41.3547451586527,4.30045572093745
10.9,42.1074264385275,4.69773104698584
11,42.9180745695239,5.09534363229258
11.1,43.8706520680732,5.60543759500308
11.2,44.9238096495148,6.41621879805639
11.3,46.1572191705937,7.54873300381869
11.4,47.5994424390776,8.74577914011547
11.5,49.2223109573408,10.0302209023047
11.6,51.1286859609627,11.7553551169605
11.7,53.391249629151,14.061868398113
11.8,56.2324505080123,17.5410101529996
11.9,59.7195077279956,22.0593375594644
12,63.1894143683125,24.9196461000709
12.1,66.7574575257451,25.7472741994581
12.2,70.6926344903593,25.9584348803336
12.3,74.734345350679,26.6794294653984
12.4,78.7442867511587,28.7747855703628
12.5,82.7163546777984,29.562620891062
12.6,86.7374090086077,28.8563775973923
12.7,90.7111276862099,27.6005547137322
12.8,94.6803630208076,27.0127767914037
12.9,98.7016358427641,27.8587737339763
13,102.81619014622,29.4881696480006
13.1,106.963237511543,30.4842275713924
13.2,111.052019737465,29.6020392942047
13.3,115.201041285165,27.9535192088291
13.4,119.363303110951,26.5967550612936
13.5,123.520658073274,27.8346674887463
13.6,127.645747581054,29.0834441828543
13.7,131.742757047851,28.790726999403
13.8,135.789663922335,27.678399269334
13.9,139.814439643904,26.9551716859309
14,143.881689957198,27.5213388087365
14.1,147.986520709457,29.0319753632883
14.2,152.124217715811,30.0905618042995
14.3,156.284753714366,29.4240395076723
14.4,160.403668638261,27.9218851895615
14.5,164.552416646266,26.5114004024655
14.6,168.688743449079,27.5076621222528
14.7,172.791217098739,28.9636258526247
14.8,176.88866431905,28.8281377417713
14.9,180.924970820373,27.7192258416782
15,184.901098064794,26.8428748275904
15.1,188.889214801616,26.9239892176524
15.2,192.921173556332,28.1041345518011
15.3,196.977765210957,29.1817345844058
15.4,200.974077973448,28.6551399508055
15.5,204.980757049065,27.3849138985369
15.6,209.0146681085,26.1249951918135
15.7,213.07419954109,26.8760723614538
15.8,217.079506371356,28.4722861088984
15.9,221.078063807251,28.3839021770059
16,225.030808288441,27.2926748561928
16.1,228.944675175673,26.5239965581027
16.2,232.859482397696,26.5535516476399
16.3,236.822333912759,27.8258740158078
16.4,240.803962493445,29.0767483255781
16.5,244.771954273457,28.7351893687867
16.6,248.729476426886,27.3339950778327
16.7,252.655188754265,25.736325042172
16.8,256.54040198767,25.7280701467845
16.9,260.356120944509,27.4744247086538
17,264.116693939147,27.3598010320721
17.1,267.801961827571,26.3735271362526
17.2,271.392972131737,25.4313310868152
17.3,274.954757572284,25.2806911824353
17.4,278.521711206262,26.3234001200124
17.5,282.050496482857,27.5720856992342
17.6,285.471090744157,27.2281837584982
17.7,288.813014597402,25.5914079780596
17.8,292.051512583431,23.7303831589132
17.9,295.172842775337,23.5115109316224
18,298.156907786714,25.4631670371117
18.1,301.037836152946,25.3103275186258
18.2,303.801951785825,23.8015044141742
18.3,306.409080959431,22.3496406465359
18.4,308.893960882881,21.5513839888655
18.5,311.279249237668,21.5150634864147
18.6,313.592718070019,22.0270834637445
18.7,315.811399236,21.750540723751
18.8,317.963163312244,20.3171709504593
18.9,320.038483901471,18.5209101493535
19,321.967551434011,17.8129521333259
19.1,323.810378406714,19.3335422906265
19.2,325.573389867996,19.1266790455699
19.3,327.233162215514,17.8416017484702
19.4,328.755472549218,16.4291096319454
19.5,330.125957624679,15.4439058682938
19.6,331.363894909962,15.2793393767884
19.7,332.485281605244,15.4446636630853
19.8,333.508549996109,15.0105121978372
19.9,334.444213957199,13.1500033540585
20,335.231888238419,10.2576528668711
20.1,335.826307140046,7.42167004588611
20.2,336.326996836106,6.93917258370102
20.3,336.717314104965,5.69385899325296
20.4,337.027051572244,4.11131500436264
20.5,337.255622235474,2.69914033029939
20.6,337.404348302852,1.62217067767651
20.7,337.499780093593,0.76917634758377
20.8,337.535673938405,0.0469051517553903
