"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5117185340699,-0.217713802006702
8.4,34.5141650982995,0.46983134748383
8.5,34.5376077115925,1.1414290016328
8.6,34.5860465217551,1.82637955014702
8.7,34.6364746241312,2.37278789709549
8.8,34.7083441059365,2.94472806140304
8.9,34.7992100417186,3.52855369392642
9,34.9105761594054,4.22603530343871
9.1,35.0386165915992,4.89483100731562
9.2,35.1880046390689,5.55808838481233
9.3,35.3494730378167,6.24755813784997
9.4,35.5363871247702,7.03018873304983
9.5,35.7450178890563,7.89442168564237
9.6,35.981002932111,8.86010607714797
9.7,36.25764317327,9.94532958024926
9.8,36.5344297284932,10.7837924820179
9.9,36.8415177408218,11.6619735370522
10,37.1838062129684,12.5977382036319
10.1,37.5572743157851,13.9462190570002
10.2,37.9715127470593,15.2733345295705
10.3,38.4232019299562,16.5716541449563
10.4,38.8893754242255,17.7668524949704
10.5,39.4084984216222,19.3059014652655
10.6,39.9791380278349,21.2956868220396
10.7,40.6133456018274,23.7179546344066
10.8,41.3643816149938,26.8851090710506
10.9,42.1142382194462,29.3559569606429
11,42.919274416893,31.8185699052697
11.1,43.856091360557,34.9377746130237
11.2,44.8736880444736,39.8023608856557
11.3,46.0058800123513,46.1674666047263
11.4,47.2417310594189,52.2195236532668
11.5,48.5443217177585,57.8827770734481
11.6,49.9012573671336,64.1070495198081
11.7,51.3304425961765,71.0029930575523
11.8,52.7869421897905,78.566110856792
11.9,54.3224680486873,86.6463849421485
12,55.8675722812267,91.6763901529192
12.1,57.424790508195,94.1385045556877
12.2,59.0200294478083,95.221519464463
12.3,60.6212596764266,96.0668804046657
12.4,62.2179543079115,98.1238977687035
12.5,63.8350954224602,99.0557005075251
12.6,65.4690734498905,98.7757287396747
12.7,67.1033945528229,98.0850786384877
12.8,68.7614513037878,97.9269404048924
12.9,70.4346926233044,98.9909886888988
13,72.0995970219785,101.29948416893
13.1,73.7330031092318,102.447565442244
13.2,75.3572475190748,101.658589150972
13.3,77.0200067930496,100.38736281609
13.4,78.6824299750427,99.1882431299248
13.5,80.3357115666537,100.187415852109
13.6,82.0158925011338,101.058838426012
13.7,83.6969695545969,100.624871624439
13.8,85.3770738984727,99.6719258637231
13.9,87.0612748375062,99.2155690253576
14,88.7347184789782,99.9321216848069
14.1,90.3951616187856,101.838281092561
14.2,92.0545916556729,103.078150523202
14.3,93.6960094237915,102.201874431302
14.4,95.3742069794542,100.817842667382
14.5,97.0568161608163,99.4391253377706
14.6,98.7173122715286,100.11128220756
14.7,100.363661287284,101.095368479655
14.8,102.01366038744,100.62571338369
14.9,103.682388225974,99.3637072518152
15,105.355924496213,98.4448808359128
15.1,106.994698843723,98.5542891831939
15.2,108.623424950822,99.8464278272015
15.3,110.229537594198,100.936342664893
15.4,111.795408244275,99.9245147588584
15.5,113.358138424702,98.608701519627
15.6,114.922405108652,97.1910296715178
15.7,116.456018649013,97.3328501541425
15.8,117.9524130094,98.0260992102537
15.9,119.438911482767,97.1382867812372
16,120.899937813818,95.4712173173507
16.1,122.339703795633,94.1896545115385
16.2,123.761899394673,93.8157984792405
16.3,125.180206289421,94.651056045045
16.4,126.590509150769,95.3636585990028
16.5,127.959156863743,93.68883718709
16.6,129.325878473112,91.3370666984858
16.7,130.675663148096,88.8392875708653
16.8,131.974945799538,87.7442676354537
16.9,133.213610982776,87.9965210929285
17,134.398698001247,86.4489197924613
17.1,135.531304348358,84.0981041563002
17.2,136.624024198475,81.8018314053744
17.3,137.678520478341,80.4207574565538
17.4,138.695039292985,80.238767487671
17.5,139.69250968389,80.1483278970398
17.6,140.642054395078,77.6939111553702
17.7,141.565524039822,74.2227632755896
17.8,142.468548942064,70.7024974174035
17.9,143.345142338081,68.7611171788715
18,144.194642269232,68.7311850664514
18.1,145.01811388944,66.6330672091338
18.2,145.811551156458,63.109725354402
18.3,146.581662371336,59.6668507699791
18.4,147.330487039229,57.0231549266865
18.5,148.050740206956,55.4058121510542
18.6,148.736446510666,54.3982178127261
18.7,149.380804024558,52.1893567413583
18.8,149.998733701489,48.8805929268399
18.9,150.589314788798,45.3810273388621
19,151.142833829129,42.7198552943098
19.1,151.653324966747,42.6987637975052
19.2,152.131155237422,40.8995458654595
19.3,152.573766172034,37.9018717554047
19.4,152.984041034468,34.6703164801296
19.5,153.362207074703,31.974965386799
19.6,153.702109062763,30.4765505350838
19.7,154.004821512358,29.3537992424596
19.8,154.278312678142,27.4287309669014
19.9,154.523911821696,23.9292173736673
20,154.736960244834,19.272664134212
20.1,154.912630461476,14.365838968823
20.2,155.059616038622,12.7462727619164
20.3,155.178322960719,10.3121408933088
20.4,155.27368513197,7.52694786220451
20.5,155.346473173974,5.10678657835045
20.6,155.39835792255,3.17307162498387
20.7,155.432362372121,1.59494803418433
20.8,155.446151978785,0.20532404383429
