"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5103958205506,-0.189636350919783
8.4,34.5128418176776,0.409241048795383
8.5,34.5362807300642,0.99422754127645
8.6,34.5847120670993,1.5908429212814
8.7,34.6351330778426,2.06678689073602
8.8,34.7069925704873,2.56496946344189
8.9,34.7978456033428,3.0735029148518
9,34.9091963065896,3.68102953253486
9.1,35.0372192110291,4.26357031198436
9.2,35.186586976816,4.8412864857592
9.3,35.3480337833917,5.44183370486892
9.4,35.5349237289827,6.12352381638618
9.5,35.7435284370243,6.87628763408815
9.6,35.9794853543068,7.71741551927696
9.7,36.2560938560575,8.6626639013104
9.8,36.5328503629898,9.39298131407107
9.9,36.8399075286131,10.1578974959861
10,37.1821638507592,10.97297504723
10.1,37.5556008796645,12.1475494162795
10.2,37.9698188073675,13.303523876812
10.3,38.4215082645701,14.4344745977283
10.4,38.8876951323121,15.4756381757148
10.5,39.406902967066,16.8164858317731
10.6,39.9777736311322,18.5503843701086
10.7,40.6125151660239,20.6619913838867
10.8,41.3648186713924,23.4251669658831
10.9,42.1167936054237,25.5847016057915
11,42.9254219434102,27.7421849000626
11.1,43.8708317550786,30.4915437547494
11.2,44.9058430044434,34.8155525507775
11.3,46.0778306909136,40.6088229299264
11.4,47.3725698068479,46.2457773280883
11.5,48.7384324631866,51.5563826410298
11.6,50.1723578693029,57.5163599797346
11.7,51.6799396735168,64.1429032124179
11.8,53.2404324329521,71.4162677660516
11.9,54.8944418933484,79.3132508721371
12,56.5410855263711,84.2641103282955
12.1,58.194732858421,86.6346413022273
12.2,59.9256998275538,87.5924919961911
12.3,61.6520787594898,88.3952668500838
12.4,63.3698056503748,90.3706004778908
12.5,65.1000026250275,91.2780873212922
12.6,66.8598009181216,90.9305145398422
12.7,68.6121735866571,90.2087884614078
12.8,70.3684184597899,90.1071555868364
12.9,72.1600998512894,91.1759528216054
13,73.9806049035488,93.3909363369893
13.1,75.7617993264953,94.4673203847185
13.2,77.4878926520075,93.6652281157501
13.3,79.2637826632681,92.3830755474579
13.4,81.0607224671422,91.2138080385573
13.5,82.8284423714792,92.2504626522195
13.6,84.6122411849825,93.1347063735187
13.7,86.4290554815417,92.6604179349364
13.8,88.2317852123416,91.6908926278956
13.9,90.0378042187612,91.2351069449914
14,91.8506605427367,91.9707526053045
14.1,93.657615185299,93.8426166989595
14.2,95.449073487241,95.0569590758955
14.3,97.2120936978521,94.1570845915163
14.4,99.0050245575452,92.7911751631908
14.5,100.824933359189,91.4333587283797
14.6,102.619686310635,92.1634202616911
14.7,104.402690367026,93.1626068352741
14.8,106.181506963898,92.7218744987947
14.9,107.963179803484,91.4936586154971
15,109.764347905136,90.6002943145958
15.1,111.559886183403,90.7407424685014
15.2,113.33810888361,92.0896800954298
15.3,115.093367578535,93.1963769038189
15.4,116.803816095959,92.2274747512026
15.5,118.523959631504,90.9530769679086
15.6,120.223742026475,89.6708143449974
15.7,121.913432806814,89.9631478018517
15.8,123.569022836752,90.8007316283883
15.9,125.205810029663,90.033816590764
16,126.818001086327,88.4488832483224
16.1,128.40074315685,87.2388409620859
16.2,129.954432847858,86.9584626129668
16.3,131.497521200524,87.8817557709398
16.4,133.02913365811,88.6537285116849
16.5,134.515782065115,87.0750571727868
16.6,136.004384413378,84.7922798491409
16.7,137.494197028533,82.4179621764013
16.8,138.958836597232,81.5212718933903
16.9,140.378790664896,82.031308160467
17,141.746468138356,80.743834741366
17.1,143.0492000784,78.6214074805838
17.2,144.296189380561,76.5274413102772
17.3,145.495632280052,75.3334970699718
17.4,146.646067463374,75.3350645108213
17.5,147.765303185967,75.4006047382664
17.6,148.834263412519,73.1113051690944
17.7,149.867942450864,69.7685028419338
17.8,150.870208522162,66.3765952702297
17.9,151.836241769615,64.5708156798864
18,152.770572905622,64.6924369185627
18.1,153.675255264242,62.7316107330796
18.2,154.543081820036,59.3309511884002
18.3,155.379622937514,56.0122240933411
18.4,156.189249959048,53.4985896885989
18.5,156.969584502264,52.0107418738268
18.6,157.717843805781,51.1455483571204
18.7,158.419647394122,49.1170727632069
18.8,159.086862228669,45.9802575896781
18.9,159.727284574617,42.6492888323144
19,160.33187312225,40.1609164354801
19.1,160.890588620536,40.3117219050583
19.2,161.415222621759,38.6836470521255
19.3,161.899256959325,35.85405178752
19.4,162.345717744346,32.7932182466112
19.5,162.758358072098,30.2661286650218
19.6,163.129600584587,28.9113178369879
19.7,163.460423618382,27.9308046990802
19.8,163.761487185269,26.1670731659389
19.9,164.030534904101,22.8309102525317
20,164.263294702426,18.3314373690827
20.1,164.45577023715,13.6105754772034
20.2,164.617571403991,12.1080860565649
20.3,164.747873206604,9.78880051633629
20.4,164.852848685172,7.12253457391008
20.5,164.9318259672,4.80928113877861
20.6,164.986865941021,2.97835887674301
20.7,165.022884611324,1.49126168972675
20.8,165.037971164159,0.183348910411266
