"Time [ms]","FluxLinkage(PhaseA) [Wb]"
20,0.699674413196342
20.1,0.674470654234419
20.2,0.649661450728665
20.3,0.624963275594156
20.4,0.600095577433772
20.5,0.575639940320342
20.6,0.551692207984912
20.7,0.528181116941895
20.8,0.504525977179435
20.9,0.480367949178714
21,0.456063969617298
21.1,0.431599240638277
21.2,0.406904207972611
21.3,0.383837543907501
21.4,0.363106576144302
21.5,0.341750068222462
21.6,0.323809813258253
21.7,0.309779727097718
21.8,0.29800354962182
21.9,0.287968024192923
22,0.279144470279855
22.1,0.27146336943129
22.2,0.264920996416673
22.3,0.259041423871613
22.4,0.253930490445645
22.5,0.249576994458935
22.6,0.244848583233485
22.7,0.240863112107367
22.8,0.237372192739132
22.9,0.234152325686317
23,0.231272301063382
23.1,0.228560027499435
23.2,0.226002421926789
23.3,0.223686677831206
23.4,0.221585824346128
23.5,0.219683647671861
23.6,0.21801142957842
23.7,0.216321428486766
23.8,0.214836502845012
23.9,0.213556595038851
24,0.212384334927455
24.1,0.211374584536057
24.2,0.210460978115062
24.3,0.209644122810401
24.4,0.208946742297541
24.5,0.208367401406788
24.6,0.207903989309071
24.7,0.207566102886651
24.8,0.207270955537342
24.9,0.207081758301232
25,0.207044912078898
25.1,0.207084766595366
25.2,0.207277978822072
25.3,0.207578559450023
25.4,0.207916669514065
25.5,0.208382265242001
25.6,0.208965750455603
25.7,0.209666879837869
25.8,0.210486165925284
25.9,0.211403538182187
26,0.212417166372429
26.1,0.213593979772267
26.2,0.21487900939036
26.3,0.216371728733586
26.4,0.218075009842419
26.5,0.2197480928688
26.6,0.221655587957503
26.7,0.223765146451252
26.8,0.226092380875872
26.9,0.228660437962515
27,0.231381821894219
27.1,0.23427232062586
27.2,0.237508061073567
27.3,0.241014009439243
27.4,0.245029766072517
27.5,0.24982950674817
27.6,0.254172082410932
27.7,0.259307057334261
27.8,0.265242709162538
27.9,0.271879386884675
28,0.279695915562301
28.1,0.288677176267274
28.2,0.298927553980271
28.3,0.311044974325307
28.4,0.325553103387418
28.5,0.344040544340273
28.6,0.365761665864761
28.7,0.386024673128707
28.8,0.408152670682851
28.9,0.431983171926422
29,0.456260120880292
29.1,0.480370528285834
29.2,0.504296223512519
29.3,0.527987743302458
29.4,0.551575771553995
29.5,0.575653259184851
29.6,0.600236912640924
29.7,0.625196892317423
29.8,0.649839767224529
29.9,0.674501153945526
30,0.699641999448064
30.1,0.72461363427967
30.2,0.74939480211344
30.3,0.774161805672255
30.4,0.798802055320542
30.5,0.82305812770981
30.6,0.847256282878891
30.7,0.871773703275996
30.8,0.896625686042087
30.9,0.921374271000929
31,0.946037413001947
31.1,0.970918899826573
31.2,0.995724903947635
31.3,1.02040343555728
31.4,1.04497618712344
31.5,1.06950079106831
31.6,1.09368957385721
31.7,1.11759585880369
31.8,1.14150973262862
31.9,1.16570767878967
32,1.18992499261288
32.1,1.21404543492187
32.2,1.23840313632795
32.3,1.26267672613793
32.4,1.28674690200498
32.5,1.31074175045837
32.6,1.33474059694544
32.7,1.35841411627914
32.8,1.38189090011289
32.9,1.40545256137482
33,1.42926762440868
33.1,1.45313255883612
33.2,1.47682911654036
33.3,1.50049824757836
33.4,1.52394619429961
33.5,1.54701434547546
33.6,1.56977611184104
33.7,1.59234977197297
33.8,1.6143911322794
33.9,1.63589025859036
34,1.65718150264617
34.1,1.67842653252745
34.2,1.69940739451527
34.3,1.71986287600283
34.4,1.73974804332909
34.5,1.75891152631299
34.6,1.77731234504785
34.7,1.79494903040316
34.8,1.81200793556886
34.9,1.82824847793082
35,1.84357725135505
35.1,1.85828503595048
35.2,1.87246595073304
35.3,1.88622908295359
35.4,1.89941144689786
35.5,1.91217438013736
35.6,1.92429553599186
35.7,1.93565371494533
35.8,1.94654327572656
35.9,1.95696235564924
36,1.96666397590913
36.1,1.97544641496021
36.2,1.98339644717373
36.3,1.99059901950599
36.4,1.99710650120517
36.5,2.00312027753585
36.6,2.0084770063688
36.7,2.01281684483995
36.8,2.0161009927276
36.9,2.01886983515738
37,2.02104902295191
37.1,2.02278289796265
37.2,2.02398048082771
37.3,2.02477177920087
37.4,2.0252176765026
37.5,2.02529833314235
37.6,2.02511187550532
37.7,2.02460604272221
37.8,2.02371707641809
37.9,2.02244067095436
38,2.02074934139855
38.1,2.01840446909849
38.2,2.01568069520194
38.3,2.01248816639478
38.4,2.00811542004169
38.5,2.00263326734084
38.6,1.99651098319545
38.7,1.98988863218717
38.8,1.98266182448936
38.9,1.97472100902383
39,1.96588651541941
39.1,1.95620305881154
39.2,1.94577667025323
39.3,1.93489505400473
39.4,1.92378225919099
39.5,1.91181216844755
39.6,1.8988595781571
39.7,1.88535997484363
39.8,1.87162243730587
39.9,1.85752070589856
40,1.8429359714825
