"Time [ms]","FluxLinkage(PhaseA) [Wb]"
5,1.99830997166655
5.1,1.98484140731982
5.2,1.97146357497596
5.3,1.95811439663668
5.4,1.9446692095003
5.5,1.9313543956303
5.6,1.91804880329451
5.7,1.90486424601044
5.8,1.8920039957599
5.9,1.87896796180004
6,1.86603689913471
6.1,1.8534751955378
6.2,1.84104909893443
6.3,1.82898774982918
6.4,1.81738029288427
6.5,1.80575368564656
6.6,1.79464286152155
6.7,1.78397385076759
6.8,1.77387223262311
6.9,1.76448430389538
7,1.75550694560645
7.1,1.74696780815054
7.2,1.7392936382891
7.3,1.73221352387656
7.4,1.72585941595457
7.5,1.72034922629816
7.6,1.7150680071109
7.7,1.71059140929127
7.8,1.70675677395991
7.9,1.70356343589257
8,1.70113784721416
8.1,1.69921347314379
8.2,1.69770004250511
8.3,1.69711141469561
8.4,1.69722036033707
8.5,1.69811905953476
8.6,1.699962874072
8.7,1.70189492797713
8.8,1.70458510830459
8.9,1.7080319814462
9,1.71209589739181
9.1,1.71678589580382
9.2,1.72216539702411
9.3,1.72799245678669
9.4,1.73462679513647
9.5,1.74190304769125
9.6,1.74984681899668
9.7,1.75865867596355
9.8,1.76762699158745
9.9,1.77725644714244
10,1.78757665633274
10.1,1.79838110022424
10.2,1.80960897077864
10.3,1.8212991724696
10.4,1.83303407267397
10.5,1.84525462597864
10.6,1.85773286953719
10.7,1.87040982114638
10.8,1.88348369818331
10.9,1.89632136951567
11,1.90927367039889
11.1,1.9224547262287
11.2,1.93572532094461
11.3,1.94905226691764
11.4,1.96258566771297
11.5,1.97596380770617
11.6,1.9894220320109
11.7,2.00290033128012
11.8,2.01635887338283
11.9,2.03000107787272
12,2.04343650672612
12.1,2.05673475300772
12.2,2.07007494274338
12.3,2.08337394364674
12.4,2.09650041490534
12.5,2.10947398498673
12.6,2.12230458846446
12.7,2.13499500537161
12.8,2.14753106969488
12.9,2.15991475187181
13,2.17225226885023
13.1,2.18438794613756
13.2,2.19630867753713
13.3,2.20818633945213
13.4,2.21996710642161
13.5,2.23159036283026
13.6,2.24305074294342
13.7,2.2543809688329
13.8,2.26554702925932
13.9,2.27656377555835
14,2.28740918602779
14.1,2.29816020979656
14.2,2.30873191222857
14.3,2.31901683120184
14.4,2.32920412636253
14.5,2.33925052353353
14.6,2.34909902511189
14.7,2.35873058619114
14.8,2.36823505609985
14.9,2.37754458293375
15,2.38668661097707
15.1,2.39565752596838
15.2,2.40450915720333
15.3,2.4132440824238
15.4,2.42175487996345
15.5,2.43018828533434
15.6,2.4385227024193
15.7,2.44674466547968
15.8,2.45483252930206
15.9,2.46288390114792
16,2.47083335942129
16.1,2.47868508786866
16.2,2.48643557479938
16.3,2.49412676065181
16.4,2.50178440055008
16.5,2.50925979480386
16.6,2.51670514398301
16.7,2.52409583280012
16.8,2.53138958000602
16.9,2.53856153063326
17,2.54566749823032
17.1,2.55265203002466
17.2,2.55953043813297
17.3,2.56629068032463
17.4,2.57295723583165
17.5,2.57956258571802
17.6,2.58595176870618
17.7,2.59227173971544
17.8,2.59849663712145
17.9,2.60459117416519
18,2.61052474538504
18.1,2.61634160487054
18.2,2.62203918048346
18.3,2.62763048511686
18.4,2.6330933205075
18.5,2.63842716723153
18.6,2.64364664419783
18.7,2.64868048255738
18.8,2.65359336321307
18.9,2.65840254524174
19,2.66307362406033
19.1,2.66757655206424
19.2,2.671929135798
19.3,2.6760836710269
19.4,2.68006733564639
19.5,2.68387054481579
19.6,2.68747810405765
19.7,2.69087040565455
19.8,2.69404813114847
19.9,2.69701165851633
20,2.69973345499805
20.1,2.70219259104609
20.2,2.70439066735287
20.3,2.70627825923779
20.4,2.70778638718974
20.5,2.70895876019023
20.6,2.70980443506369
20.7,2.71034268711217
20.8,2.7105888624832
20.9,2.71053590524203
21,2.71018446103592
21.1,2.70953352443343
21.2,2.70857608745969
21.3,2.70728503462035
21.4,2.7056455849333
21.5,2.70367175107136
21.6,2.70140286151799
21.7,2.69886618609211
21.8,2.69606965767352
21.9,2.69302977913135
22,2.68976910739056
22.1,2.68630437239331
22.2,2.68263400451238
22.3,2.67877323069224
22.4,2.67472770222146
22.5,2.67050806908784
22.6,2.6661153604422
22.7,2.66155018881381
22.8,2.65684998484369
22.9,2.65202342672199
23,2.64708287710583
23.1,2.64197137866933
23.2,2.63673372813791
23.3,2.63136321262396
23.4,2.6258700864252
23.5,2.62024988986422
23.6,2.61451154153713
23.7,2.60864821717849
23.8,2.60265468380945
23.9,2.59655149698726
24,2.59030317767403
24.1,2.58396273822261
24.2,2.57748256318958
24.3,2.57089150304008
24.4,2.56418786362035
24.5,2.55738669222399
24.6,2.5504716150931
24.7,2.5434524374958
24.8,2.5363299764911
24.9,2.52910059202077
25,2.5218120054706
