"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5072277915124,-0.0967321109903681
8.4,34.5096724870646,0.208752408171034
8.5,34.5330959846064,0.507151043376516
8.6,34.5814945004278,0.811476945900446
8.7,34.6318824740545,1.05425398285582
8.8,34.7036946140876,1.30837323320262
8.9,34.7944869681215,1.567768475781
9,34.9057625362593,1.8776450803892
9.1,35.0336975290873,2.17478293378423
9.2,35.1829615235384,2.46945678499759
9.3,35.3442939908697,2.77577132582322
9.4,35.5310501582091,3.12346367101526
9.5,35.7395020741369,3.50739341263765
9.6,35.9752822106145,3.93637656496583
9.7,36.2516776199263,4.41844324132958
9.8,36.5282201530659,4.79089510576304
9.9,36.8350364045104,5.18098420990203
10,37.177020018518,5.59663948118471
10.1,37.5501607801357,6.19561285567239
10.2,37.9640548769798,6.78508820296288
10.3,38.4153964897475,7.36179297074263
10.4,38.8812205351093,7.89269558822991
10.5,39.4000617090648,8.57645968409151
10.6,39.970603377618,9.46075893455808
10.7,40.6051806675201,10.5379616728401
10.8,41.3579097372064,11.9485559241099
10.9,42.1110633967844,13.052691342444
11,42.9222547021763,14.1578115172711
11.1,43.8754640727714,15.5755048978656
11.2,44.9291855369437,17.8283543066766
11.3,46.1621283082809,20.9718903497172
11.4,47.599327647167,24.2804715691859
11.5,49.2010178778561,27.7760361714981
11.6,51.0172493070818,32.2310348726503
11.7,52.9961603192974,37.4948993964625
11.8,55.0806042672703,43.6115481576599
11.9,57.3493467965404,50.2577609172214
12,59.6596300251801,54.2910372282138
12.1,61.9916507423523,56.0363938283828
12.2,64.3940500726136,56.8761412534359
12.3,66.7929033093192,57.6502818442021
12.4,69.1947636228413,59.5274917742474
12.5,71.6501816334182,60.2078385270913
12.6,74.1156244358756,59.590462664644
12.7,76.5855543745623,58.6644464270397
12.8,79.0747423820497,58.4282752390911
12.9,81.5664597083803,59.6429863179586
13,84.0830430125004,61.6554612255447
13.1,86.570278716855,62.5737969023408
13.2,89.0474931475134,61.5513828317433
13.3,91.6112857623677,60.1146064148987
13.4,94.1968963234236,58.9596199936828
13.5,96.7510587451545,60.1030858482413
13.6,99.2636090285199,61.0969796390753
13.7,101.773497224449,60.6181692915647
13.8,104.264823523032,59.540248978705
13.9,106.76553586093,58.9874643798567
14,109.316755208829,59.8295204001426
14.1,111.905342859587,61.5983862751908
14.2,114.485380661973,62.6726360003867
14.3,116.990431698545,61.7654368373979
14.4,119.564901524883,60.2855867041474
14.5,122.141376510034,59.0006998961191
14.6,124.70469433067,59.9234750427927
14.7,127.246863816867,61.0995885774451
14.8,129.770215069005,60.729775176625
14.9,132.271539158036,59.4979995058826
15,134.772814447611,58.5940521231297
15.1,137.286704586122,58.8150416783706
15.2,139.834863126826,60.2107924113388
15.3,142.365958158591,61.3682771328199
15.4,144.876342407394,60.528577636452
15.5,147.442400121101,59.2007268989898
15.6,150.016978202319,58.0459779786409
15.7,152.560421429755,58.7351730173073
15.8,155.053863470557,60.0740324282408
15.9,157.536933287563,59.7080519562114
16,159.996119639441,58.4325057186473
16.1,162.429553577856,57.5408881798179
16.2,164.854056128374,57.6294664634919
16.3,167.274162867925,59.0024477491364
16.4,169.667805602698,60.1894728611986
16.5,171.988441275036,59.1896348569107
16.6,174.271425751151,57.2764413283925
16.7,176.531129653017,55.2684129327493
16.8,178.741605872999,54.8126124848387
16.9,180.907618937172,55.8890348116627
17,183.053658830149,55.1272125577336
17.1,185.145686098034,53.5245359864261
17.2,187.191550398933,52.0136281807991
17.3,189.212028960033,51.4662247403919
17.4,191.200493472494,52.220962715016
17.5,193.155825173363,53.0979787641787
17.6,195.039400948286,51.8825777730884
17.7,196.895929172365,49.4123804382141
17.8,198.706696664413,46.8891813599257
17.9,200.411630300104,45.9886491185374
18,201.996801649153,47.0608487919949
18.1,203.481558215538,45.9778307187877
18.2,204.881194390386,43.3648329568996
18.3,206.195913971592,40.8041348508629
18.4,207.423956564447,39.0225646965463
18.5,208.579017662314,38.1969239748666
18.6,209.664653135299,37.961769193237
18.7,210.686515189025,36.6524726202204
18.8,211.656233895634,34.2097268591862
18.9,212.564006442973,31.5285789645079
19,213.406931793164,29.7337364390085
19.1,214.198175190987,30.549650212632
19.2,214.941470124358,29.5766871125908
19.3,215.63179788058,27.4056810396387
19.4,216.267602246248,25.0544950634961
19.5,216.844982742098,23.2134951215881
19.6,217.379778522295,22.4067374134718
19.7,217.874373131332,21.9677236184862
19.8,218.324497908557,20.836432387457
19.9,218.730699445121,18.1703197486114
20,219.077132710377,14.3489146135972
20.1,219.361903689877,10.4532242010596
20.2,219.587318473104,9.45806917645723
20.3,219.767280982477,7.66596543844584
20.4,219.898491079575,5.55138472750632
20.5,219.989021432017,3.72075176441174
20.6,220.052139578188,2.2900515234646
20.7,220.093852413133,1.12730304411778
20.8,220.112207675929,0.114577287343591
