"Time [ms]","FluxLinkage(PhaseA) [Wb]","Moving1.Position [deg]"
0,0.0172518505046213,0
4.69999999999984,0.0587238036265572,8.45999999999968
9.39999999999968,0.182945488663159,16.9199999999994
14.0999999999995,0.219014260134463,25.379999999999
18.7999999999994,0.0989323829437546,33.8399999999992
23.4999999999992,0.0183067867604559,42.2999999999996
28.199999999999,0.0249085727076583,50.76
32.8999999999989,0.14386467776496,59.2200000000002
37.5999999999987,0.241600606257678,67.6799999999992
42.2999999999986,0.138380971108673,76.1399999999981
46.9999999999984,,
