"Time [ms]","FluxLinkage(PhaseA) [Wb]"
5,1.3874400472841
5.1,1.36608472965577
5.2,1.34525915356808
5.3,1.32487925422592
5.4,1.30484767147354
5.5,1.28541397456312
5.6,1.26645612811535
5.7,1.24828232633684
5.8,1.23130396810681
5.9,1.21427240377456
6,1.19803097321873
6.1,1.18306238257312
6.2,1.16879739304469
6.3,1.15549142470506
6.4,1.1431015741049
6.5,1.13116489315247
6.6,1.12011646359547
6.7,1.1099291937782
6.8,1.10053875428543
6.9,1.09210918150193
7,1.08404409609361
7.1,1.07637945858666
7.2,1.06981886979082
7.3,1.0638533311954
7.4,1.05861314468952
7.5,1.054060702949
7.6,1.04975537558998
7.7,1.04613322825581
7.8,1.0430656922446
7.9,1.04058755374614
8,1.03865879136123
8.1,1.03718167337409
8.2,1.03597376539863
8.3,1.0355310636592
8.4,1.03559859194227
8.5,1.03629071302918
8.6,1.03772817846633
8.7,1.03921987708587
8.8,1.04134598137611
8.9,1.04403367449019
9,1.04731963225206
9.1,1.05109328474773
9.2,1.05548666384211
9.3,1.0602296564265
9.4,1.06569463745908
9.5,1.07178453823458
9.6,1.07863382104559
9.7,1.08662396775997
9.8,1.09457067801561
9.9,1.10331164335594
10,1.11299070180453
10.1,1.12340865092482
10.2,1.13468974286371
10.3,1.14679402674852
10.4,1.15942103429787
10.5,1.17305388834171
10.6,1.18759378343151
10.7,1.20294810851766
10.8,1.21970032082445
10.9,1.23651349276524
11,1.25398285358135
11.1,1.27260749339872
11.2,1.29174772876506
11.3,1.31132250650591
11.4,1.33159430907398
11.5,1.35205144100217
11.6,1.37304642857998
11.7,1.39440964998932
11.8,1.4160080587655
11.9,1.43831940235812
12,1.46044938991803
12.1,1.48248049833948
12.2,1.50482279734414
12.3,1.52728184619071
12.4,1.54954989784662
12.5,1.57171703682313
12.6,1.59404008210825
12.7,1.61625207505326
12.8,1.63828300728849
12.9,1.66014641867629
13,1.68197549041319
13.1,1.70343686542695
13.2,1.72451356264344
13.3,1.74560097649961
13.4,1.7665749148181
13.5,1.78737500829382
13.6,1.80795924652177
13.7,1.8285978825465
13.8,1.84906756086787
13.9,1.86938785964025
14,1.88943481333577
14.1,1.9092429030625
14.2,1.92856398347386
14.3,1.94705683551141
14.4,1.96517376401299
14.5,1.98286429426297
14.6,2.00009048458668
14.7,2.0167870772766
14.8,2.03320603872983
14.9,2.04926141109693
15,2.06498705162479
15.1,2.0804377478779
15.2,2.09568727907152
15.3,2.11076692366456
15.4,2.12539945031804
15.5,2.13990748521995
15.6,2.15422950483532
15.7,2.16829943868545
15.8,2.182047672283
15.9,2.19555868793536
16,2.20874523759493
16.1,2.22158885910103
16.2,2.23411812421518
16.3,2.24639245174195
16.4,2.25848604198397
16.5,2.27009417690565
16.6,2.28153738673631
16.7,2.29277085984829
16.8,2.30373278854613
16.9,2.31441932379498
17,2.3249113706673
17.1,2.33516692059328
17.2,2.34520488001991
17.3,2.35498685318805
17.4,2.36454067647613
17.5,2.37393573730918
17.6,2.38291101535792
17.7,2.39171037390122
17.8,2.40030301569899
17.9,2.40861774242421
18,2.41660962832419
18.1,2.42432777225499
18.2,2.43175902965852
18.3,2.43893269965382
18.4,2.44583325043955
18.5,2.45246752232292
18.6,2.45886786765016
18.7,2.46494152196982
18.8,2.470784100041
18.9,2.4764388880225
19,2.48186402396537
19.1,2.48702903082182
19.2,2.49198173791316
19.3,2.4966601655044
19.4,2.50109660806506
19.5,2.50527309479068
19.6,2.50916358751227
19.7,2.51272868285499
19.8,2.5159737762606
19.9,2.51889302752763
20,2.52142846353093
20.1,2.52356465573832
20.2,2.52532963257219
20.3,2.52675203512817
20.4,2.52786631757941
20.5,2.52871491814204
20.6,2.52931770739369
20.7,2.52970734404807
20.8,2.52987774786266
20.9,2.52983388556598
21,2.52959057937449
21.1,2.52911733421598
21.2,2.52842498630117
21.3,2.52748242109985
21.4,2.52626750734798
21.5,2.5247464627781
21.6,2.52288990243447
21.7,2.5206404949823
21.8,2.51799731811487
21.9,2.51496640541873
22,2.51159732745763
22.1,2.50791348002491
22.2,2.50392911986037
22.3,2.49966803786358
22.4,2.49514824429621
22.5,2.49037935636518
22.6,2.48535974182931
22.7,2.48009108424986
22.8,2.4746133251987
22.9,2.46891882848479
23,2.46299550650743
23.1,2.45677095629301
23.2,2.45031113669642
23.3,2.44359958189603
23.4,2.43662585771806
23.5,2.42938224143182
23.6,2.42186641254561
23.7,2.41406785806418
23.8,2.40596633218959
23.9,2.39760359681082
24,2.38894726636976
24.1,2.38006824207815
24.2,2.3708799837403
24.3,2.36148624194126
24.4,2.3518500979822
24.5,2.34198032223005
24.6,2.33186497267015
24.7,2.32153031018676
24.8,2.31098093188835
24.9,2.30018428898228
25,2.28919441247834
