"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
8.3,34.5062093838377,-0.000967272624030242
8.4,34.5086534537115,0.00208734944433626
8.5,34.5320722447372,0.0050711234092766
8.6,34.5804612459149,0.00811415347216915
8.7,34.6308390355356,0.0105417361831539
8.8,34.7026363489268,0.0130827320416906
8.9,34.793409822195,0.0156764780507609
9,34.9046612739984,0.0187749343932223
9.1,35.0325677146576,0.021746055806785
9.2,35.1817976429116,0.0246925076484631
9.3,35.3430926293527,0.0277553205411257
9.4,35.5298037991475,0.0312318292380918
9.5,35.7382036025436,0.0350706275354473
9.6,35.9739207139523,0.0393598159879932
9.7,36.2502357562617,0.0441796455179409
9.8,36.5266965972302,0.0479034993428788
9.9,36.833416932429,0.0518036384068988
10,37.1752849449523,0.0559592519788382
10.1,37.5482900236729,0.061947252580503
10.2,37.9620171211546,0.0678402998545621
10.3,38.4131629950999,0.0736055086797817
10.4,38.8787711300608,0.0789125789379319
10.5,39.3973469485917,0.0857473312004408
10.6,39.967561702697,0.0945860071005776
10.7,40.6017260392676,0.105351955850408
10.8,41.3538936711629,0.119448820238838
10.9,42.1064360283176,0.130482038217048
11,42.916917365371,0.141524328880294
11.1,43.8692446976152,0.155689208892385
11.2,44.9220741254697,0.178202037469649
11.3,46.1550052110429,0.209645617780567
11.4,47.5965738111403,0.242878237018488
11.5,49.2185901407254,0.278532467539646
11.6,51.1239460566417,0.326420435275273
11.7,53.3859628750425,0.390470272151938
11.8,56.2404368057499,0.487758376554964
11.9,59.8474215770172,0.61945796276625
12,63.6691942611145,0.714289340080404
12.1,67.9552163295011,0.749267336036189
12.2,72.9737358745527,0.754623578263063
12.3,77.9286198194359,0.775994597980437
12.4,83.2899010728967,0.869700683257487
12.5,88.9036857714109,0.910965195874611
12.6,94.7239062343536,0.888115906653599
12.7,100.275502501433,0.833782853967224
12.8,105.466010466166,0.806788186748093
12.9,110.644655689197,0.822775359477115
13,115.859086748359,0.88356769007228
13.1,121.423029351072,0.932341715236114
13.2,127.105531589662,0.896028013074599
13.3,132.865843444227,0.809665670603646
13.4,137.976296357635,0.749038075235879
13.5,143.123540763316,0.817630387811986
13.6,148.500322343023,0.882547099926188
13.7,154.116322794423,0.870044386796978
13.8,159.589123309265,0.826384846681716
13.9,164.732371712186,0.79578670314749
14,169.828483463872,0.808619235904945
14.1,175.072196785464,0.870818145713681
14.2,180.500488806437,0.920926777628884
14.3,186.083200728317,0.893919030527665
14.4,191.803972812507,0.810273993509861
14.5,196.96756024625,0.741633083301821
14.6,202.02152678359,0.800085471274462
14.7,207.364852534845,0.878705142760016
14.8,212.93444517118,0.871518892936008
14.9,218.416979136154,0.82536139556235
15,223.515472035457,0.790632464650948
15.1,228.596375559932,0.790060831246854
15.2,233.707044101013,0.838469349313127
15.3,239.026941196929,0.888936843813249
15.4,244.364606539525,0.867403298638825
15.5,249.856534430272,0.79959607165802
15.6,254.989379741783,0.739371323380525
15.7,259.934775048643,0.784222591991842
15.8,265.216937299185,0.864276781968053
15.9,270.661561577973,0.857084010526938
16,276.04884051677,0.811601357125714
16.1,281.117275695193,0.778659393434425
16.2,286.135335502663,0.775052375028847
16.3,291.173910131693,0.829451251843948
16.4,296.432824611495,0.888417944662569
16.5,301.784230907423,0.877699567745437
16.6,307.31637399624,0.80698768029433
16.7,312.512117099439,0.731241429032407
16.8,317.266449506305,0.744582949380443
16.9,322.376802780505,0.840400518006822
17,327.657931490361,0.836808730462245
17.1,332.959103878153,0.795131984010676
17.2,337.926040284902,0.75841526752125
17.3,342.788354803429,0.752730998327419
17.4,347.681012533292,0.801265181963439
17.5,352.78354032113,0.868825188486717
17.6,357.979446903688,0.863771805509254
17.7,363.3780144686,0.78932936149825
17.8,368.481948036479,0.703966914721322
17.9,372.993130509108,0.718281913680079
18,378.050603170208,0.83965955686386
18.1,383.371135087434,0.848317023605786
18.2,388.720135911609,0.797601619476387
18.3,393.674294759399,0.751694722431292
18.4,398.467975273366,0.735366461561294
18.5,403.170591520507,0.751180981161057
18.6,407.99742373787,0.797825393254909
18.7,412.819240657801,0.811052520964123
18.8,417.861738444464,0.758833154905341
18.9,422.814789796731,0.684358047122048
19,427.126179980629,0.681502024246569
19.1,432.01822375701,0.787051506157647
19.2,437.059247255793,0.79870883422385
19.3,442.078829497253,0.755233427657397
19.4,446.779254894738,0.705863040729017
19.5,451.227121856041,0.678725838049768
19.6,455.571140145446,0.69161346507014
19.7,459.875255724509,0.72379531960419
19.8,464.249641314925,0.725023743771691
19.9,468.773795177377,0.641365446776951
20,472.726315475614,0.496734093754397
20.1,475.455340108287,0.360366185503824
20.2,477.991696669786,0.347677955440939
20.3,479.947654196665,0.288541573302225
20.4,481.556425203724,0.20894593579191
20.5,482.717164688535,0.135632259490276
20.6,483.373109170864,0.0806820319612404
20.7,483.765130048772,0.0371602378003156
20.8,483.871652758302,0.000948641882059742
