"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.296775480926216,29.67754759033,0.00171516145294884
0.1,0.296870694109855,29.6870681642111,0.244550054641462
0.2,0.297100085585453,29.7100073311331,0.50693567868843
0.3,0.297516350899117,29.7516339308812,0.761444001895626
0.4,0.298057647090733,29.8057636352989,0.99154117463042
0.5,0.29875882719173,29.8758817848461,1.20551476388263
0.6,0.299592520574118,29.9592513452842,1.44246814786722
0.7,0.30056609624339,30.0566092412584,1.71305609630831
0.8,0.301737522752781,30.1737524068961,1.96412434801156
0.9,0.303032378441888,30.3032385438074,2.22161159147478
1,0.304528103931997,30.4528118354844,2.50611285006597
1.1,0.306166442650415,30.6166465829729,2.7992795131581
1.2,0.308047069864605,30.8047103513752,3.13633037213271
1.3,0.31013208495,31.0132131641835,3.5124503415937
1.4,0.312473092467866,31.24731529506,3.89487449452792
1.5,0.315032693782308,31.5032767561497,4.24191845511931
1.6,0.317790489574758,31.7790578822038,4.56721277049078
1.7,0.320796310688074,32.079640978142,4.97730442137208
1.8,0.324087129677203,32.4087236825878,5.53096068238355
1.9,0.327711473155179,32.7711595648537,6.01381406446639
2,0.331618301715978,33.1618436916129,6.48089809627246
2.1,0.33587014154852,33.5870274066684,7.02708519379352
2.2,0.340423430121999,34.0423553346116,7.63064419471567
2.3,0.345482329349752,34.5482452378107,8.39421879266204
2.4,0.351072879786914,35.1073007268187,9.36618430552476
2.5,0.357309280220267,35.7309404218565,10.4790072910914
2.6,0.364287743149977,36.4287856190825,11.6793712857896
2.7,0.371920200751229,37.1920291482307,12.7023975299518
2.8,0.380344867245541,38.0344974777225,13.9857201199683
2.9,0.389786194515601,38.9786160837236,16.3610235533747
3,0.400871502714666,40.0871329219969,19.0563548045791
3.1,0.413679080831191,41.3677957992935,21.9387924276696
3.2,0.42834559734897,42.834212033849,25.1774299356229
3.3,0.444841579714679,44.4844107249505,29.1115155140304
3.4,0.463226535193747,46.3223617677489,34.0990363338596
3.5,0.482860663664068,48.2914888081964,39.7800285023341
3.6,0.503654642860318,50.3550918427714,45.692202063398
3.7,0.525362807003218,52.5328137673816,50.6856833665641
3.8,0.547410216189087,54.752185781861,52.2501037383968
3.9,0.570197997155161,57.0276816848039,51.1687807023496
4,0.592838135644506,59.2588915753783,53.1311212974314
4.1,0.615285806222113,61.5048305228061,54.8935526212414
4.2,0.637784466657675,63.7679480842573,55.1758701323666
4.3,0.660333317976482,66.0728972106615,54.2788248259867
4.4,0.683095607162626,68.3691517521298,53.3118824638827
4.5,0.706125697499037,70.6522700215185,52.8144412268686
4.6,0.729347956814956,72.9634376316228,53.2793835827166
4.7,0.752755632435206,75.2610323106753,54.9890198207838
4.8,0.776183222541486,77.580746520744,57.5233546124843
4.9,0.799399988871206,79.906908048685,57.5271890986085
5,0.822934917233674,82.2596347476405,53.8056251102913
5.1,0.846420796436241,84.6174497073795,53.5370455432842
5.2,0.870031847852146,87.0061459878301,54.9885027726159
5.3,0.893434657055694,89.3695553803489,55.5228058443169
5.4,0.916795046340624,91.7286969772272,54.7191113348609
5.5,0.940239527705678,94.0735652680296,53.6763508313854
5.6,0.963865951763764,96.3962853511692,53.1658354756043
5.7,0.98754572633913,98.7417327822194,53.5214373147409
5.8,1.0113486462309,101.130658702821,55.1416657537482
5.9,1.03516161663176,103.520706488411,57.705477660169
6,1.05873826041252,105.853834057605,58.047221429522
6.1,1.08237912618488,108.196385340794,54.0768150268236
6.2,1.10603616208275,110.559695905613,53.39802721445
6.3,1.12979178978016,112.946194596662,54.9181042964265
6.4,1.15332441027051,115.310442419242,55.5601926524381
6.5,1.17674215274435,117.658466927521,54.7711285118001
6.6,1.20015984984675,119.996955691265,53.7099259704027
6.7,1.22355736533661,122.335497209779,52.9242502447899
