Time [ms],FluxLinkage(PhaseA) [Wb],"L(PhaseA,PhaseA) [mH]",Moving1.Torque [NewtonMeter]
0,0.059353747,29.67688504,6.86E-05
0.1,0.059372808,29.68640412,0.00978148
0.2,0.05941868,29.70934013,0.020276288
0.3,0.059501921,29.75096043,0.030455986
0.4,0.059610163,29.80508173,0.039659272
0.5,0.059750378,29.87518886,0.048217707
0.6,0.059917091,29.95854558,0.057695233
0.7,0.060111776,30.05588791,0.068517979
0.8,0.060346024,30.17301182,0.078560009
0.9,0.060604953,30.30247638,0.088858732
1,0.060904047,30.45202351,0.100237795
1.1,0.061231657,30.61582844,0.111963427
1.2,0.061607712,30.80385588,0.125444085
1.3,0.062024632,31.01231588,0.140487077
1.4,0.062492733,31.24636648,0.155781998
1.5,0.063004536,31.5022682,0.169661796
1.6,0.063555963,31.77798172,0.18267163
1.7,0.064156973,32.07848667,0.199072123
1.8,0.064814948,32.40747421,0.221213264
1.9,0.065539592,32.76979614,0.240522874
2,0.066320697,33.16034842,0.259201461
2.1,0.067170754,33.58537725,0.28104244
2.2,0.068081051,34.0405255,0.305176288
2.3,0.069092384,34.54619218,0.335707154
2.4,0.07020994,35.10497017,0.374567698
2.5,0.071456515,35.72825766,0.419056476
2.6,0.072851322,36.42566101,0.467041277
2.7,0.074376733,37.18836673,0.50793301
2.8,0.076060368,38.0301838,0.559226999
2.9,0.077947127,38.97356345,0.654173059
3,0.080163131,40.08156555,0.761961631
3.1,0.082728258,41.36412926,0.877554574
3.2,0.085684907,42.84245371,1.008672429
3.3,0.089086236,44.54311844,1.173370465
3.4,0.093125891,46.5629459,1.401716375
3.5,0.097998396,48.99920347,1.713633915
3.6,0.104084129,52.0420681,2.139388788
3.7,0.111453246,55.72665057,2.613407622
3.8,0.120033099,60.01652524,2.790434066
3.9,0.12873112,64.36558771,2.548574607
4,0.136839259,68.41964849,2.808395642
4.1,0.146209002,73.10449869,3.136223603
4.2,0.156212811,78.10641497,3.226801039
4.3,0.165975819,82.98793703,3.102745132
4.4,0.175513162,87.75660067,2.942423235
4.5,0.184417496,92.2087425,2.820828042
4.6,0.193063632,96.53181128,2.784210719
4.7,0.202120013,101.0600536,2.941067319
4.8,0.211779287,105.889685,3.312844777
4.9,0.222513984,111.2570417,3.416063305
5,0.232487486,116.2437298,2.674662314
5.1,0.240536871,120.2684334,2.668440091
5.2,0.249282461,124.6413027,2.963152624
5.3,0.258830188,129.4152171,3.087653245
5.4,0.268281558,134.140838,2.999930298
5.5,0.27748883,138.7443832,2.840762228
5.6,0.286096594,143.0482085,2.75043375
5.7,0.294686332,147.3430707,2.76460147
5.8,0.303625886,151.8128519,2.910415965
5.9,0.313154264,156.5770775,3.300218891
6,0.323936084,161.9680167,3.503141226
6.1,0.334221811,167.1109474,2.729487881
6.2,0.342390595,171.1954938,2.64635457
6.3,0.35094388,175.4722468,2.934098064
6.4,0.360481596,180.2411188,3.100149007
6.5,0.370060568,185.0306022,3.019910469
6.6,0.379277986,189.6393429,2.85737166
6.7,0.3879605,193.9806439,2.751171385
6.8,0.396452194,198.2264854,2.710250668
6.9,0.405202605,202.6016369,2.802629393
7,0.414388235,207.1943467,3.116739345
7.1,0.424732924,212.3665579,3.264548969
7.2,0.434529054,217.2645874,2.689564671
7.3,0.442665836,221.3330152,2.603319313
7.4,0.451120686,225.5605125,2.891059535
7.5,0.460561196,230.2807883,3.063993707
7.6,0.470115674,235.0580488,3.002218994
7.7,0.479243164,239.6218316,2.849101392
7.8,0.487904326,243.9524347,2.732995617
7.9,0.496212474,248.1064929,2.650524794
8,0.504797882,252.3991861,2.735926551
8.1,0.514081892,257.0411498,3.124011222
8.2,0.524533518,262.2668404,3.327806173
8.3,0.534595135,267.2974993,2.752531992
8.4,0.542746638,271.373031,2.513746592
8.5,0.550788657,275.3937691,2.752042552
8.6,0.559868424,279.9332801,2.957189283
8.7,0.569161767,284.5795733,2.921452423
8.8,0.578054272,289.0255757,2.782576816
8.9,0.586518183,293.2574176,2.66763527
9,0.594646871,297.3216855,2.574707827
9.1,0.603092641,301.5444414,2.675253445
9.2,0.612155889,306.0757724,3.050368451
9.3,0.622379487,311.1872113,3.27933261
9.4,0.632424058,316.2092727,2.800214732
9.5,0.640624708,320.3096255,2.459619695
9.6,0.648398217,324.1965419,2.676304744
9.7,0.657329895,328.6626885,2.932467564
9.8,0.666609595,333.3030003,2.924746977
9.9,0.675516822,337.7570848,2.788570126
10,0.684000439,341.9992674,2.653710516
10.1,0.692176029,346.0873456,2.551203416
10.2,0.700434285,350.2167085,2.584744909
10.3,0.709017899,354.5087266,2.834406505
10.4,0.718422842,359.2113759,3.024621168
10.5,0.727817922,363.909066,2.688885146
10.6,0.735750073,367.8752679,2.326671762
10.7,0.743120174,371.5604659,2.5290538
10.8,0.751597135,375.7990788,2.786750914
10.9,0.760447637,380.2244273,2.788429421
11,0.76887362,384.4375071,2.641735177
11.1,0.776990361,388.4959691,2.49291179
11.2,0.784589986,392.2958606,2.356361649
11.3,0.792147544,396.0746634,2.349154509
11.4,0.799890308,399.9460059,2.545058315
11.5,0.808253403,404.1274868,2.69489216
11.6,0.816523615,408.2625561,2.287437244
11.7,0.822593381,411.2973966,1.52255254
11.8,0.82670333,413.3523107,1.273616792
11.9,0.830468206,415.2347047,1.191757367
12,0.833851615,416.9263611,0.929244999
12.1,0.836123858,418.0624318,0.619611628
12.2,0.837849339,418.925136,0.401681521
12.3,0.83897782,419.4893674,0.254156108
12.4,0.839602143,419.8015372,0.124512182
12.5,0.839808608,419.9047718,0.006044691
