"Time [ms]","FluxLinkage(PhaseA) [Wb]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [NewtonMeter]"
0,0.207739015035057,29.6771422565769,0.000839807012802475
0.1,0.207806632999733,29.6866618587325,0.119825517091231
0.2,0.207967191659548,29.7095988166506,0.248389598652524
0.3,0.208258546018439,29.7512208699612,0.373093571534699
0.4,0.208637411386201,29.8053444858021,0.485836261371013
0.5,0.209128182645668,29.87545466551,0.590679268414221
0.6,0.209711704920968,29.9588149945959,0.706781561801636
0.7,0.210393131893505,30.0561616885423,0.839363448810705
0.8,0.211213037188734,30.1732910255812,0.962381333977028
0.9,0.212119331808531,30.3027617202602,1.08854389919525
1,0.21316621365781,30.452316270268,1.22794134579137
1.1,0.214312907576438,30.6161296853905,1.37158460056676
1.2,0.215629171748024,30.8041674985261,1.53672812841826
1.3,0.217088476569895,31.0126396389575,1.72101166436995
1.4,0.218726932230887,31.2467047184028,1.90838212205471
1.5,0.220518361219182,31.5026232067079,2.07841728288224
1.6,0.222448487199674,31.7783557780068,2.23779554550952
1.7,0.224552172375362,32.0788827301036,2.43871299831855
1.8,0.226855272001612,32.4078977241232,2.70995970188215
1.9,0.229391751391902,32.7702521857581,2.94651985640332
2,0.232125887165125,33.1608430821649,3.17535179157612
2.1,0.235101417210878,33.5859189151218,3.4429301102571
2.2,0.238287844109864,34.0411230144788,3.73860466550295
2.3,0.241828023723909,34.5468628735682,4.1126575614372
2.4,0.245740133933749,35.1057349013844,4.58877952122309
2.5,0.250104040977774,35.7291478889831,5.13388446533165
2.6,0.25498706979141,36.4267211118588,5.72186167212887
2.7,0.260327509284893,37.189640010843,6.22294141706125
2.8,0.266222143488461,38.0317266066074,6.85154645148236
2.9,0.272828324962323,38.9754657877732,8.01518726714948
3,0.280587897507815,40.0839760254934,9.33633277306464
3.1,0.289570542369656,41.3672098675055,10.7532605455154
3.2,0.29992438619166,42.8463308185649,12.3605185480307
3.3,0.311833379348879,44.5475819348958,14.3788663371839
3.4,0.325953781221162,46.564614421782,17.170638318034
3.5,0.342807863000579,48.9719888241037,20.9271286414482
3.6,0.362717409841226,51.8177618590955,25.6345104723203
3.7,0.384058334084158,54.8586418357727,29.9011942954755
3.8,0.405597451033482,57.9662791042636,30.9567791912076
3.9,0.428064435180321,61.1500824562128,29.5290494707054
4,0.450574188944415,64.3416020474302,31.4755669027531
4.1,0.473082539479228,67.5776340647416,33.4688183392954
4.2,0.495431578468254,70.8054351049469,33.7897006880733
4.3,0.5176474573648,73.9568125225671,32.8201328044619
4.4,0.539910718926541,77.0942347713058,31.6924113398731
4.5,0.562215732606979,80.2621804722398,30.9841732571962
4.6,0.584814696830303,83.5011345717579,31.1722276988316
4.7,0.608025452545595,86.8304911111773,32.6473296245766
4.8,0.631464754922343,90.173644422506,35.1792002617145
4.9,0.654717613720322,93.5030114799026,35.3900309792765
5,0.677935153041235,96.8089312197884,31.4504062718356
5.1,0.701053282289923,100.115185622644,30.9289117168746
5.2,0.724496444626801,103.45829119748,32.5279934976185
5.3,0.747730690370462,106.781226918688,33.2351774305669
5.4,0.770762773942346,110.053535749072,32.5328028488162
5.5,0.793648643803789,113.336276393731,31.4513258962457
5.6,0.816420343048773,116.614268855224,30.8362333845721
5.7,0.839210747438386,119.895299981439,31.0223607196092
5.8,0.862530811018397,123.255963211499,32.3899905974006
5.9,0.886336402982178,126.616720004864,34.9609565734334
6,0.910019672588435,129.952241036859,35.649452899896
6.1,0.933096935119283,133.291650652845,31.6160883132166
6.2,0.956141010334731,136.598817152347,30.7486710375806
6.3,0.979489183095828,139.912806248854,32.3647673514246
6.4,1.00270706621982,143.201571246164,33.2232482103987
6.5,1.02561587673828,146.461549097156,32.5712599011125
6.6,1.04828359609542,149.707867966632,31.5290769278597
6.7,1.07085824649682,152.940317092079,30.7755871007672
6.8,1.09331705354179,156.162645229592,30.4778959203119
6.9,1.11603825296114,159.429325103485,31.2817375757856
7,1.13908366516914,162.738135980178,33.495461791167
7.1,1.16232294513172,166.017717766215,34.1251925060334
7.2,1.18523077793689,169.229690097285,31.0408446329733
7.3,1.2078752108923,172.456958333286,30.1389991810059
7.4,1.23056010774443,175.719845181044,31.7299931938918
7.5,1.25317833963685,178.980207315332,32.7040800410574
7.6,1.27559834078024,182.177770392219,32.2228772808413
7.7,1.29781535856333,185.347634110045,31.2175459632275
7.8,1.31988474853769,188.509016648988,30.4224855052503
7.9,1.34190411266354,191.653869769444,29.9187088218036
8,1.36415572405591,194.836792658458,30.7086160307931
8.1,1.38682556838181,198.079703289353,33.2440336169144
8.2,1.40944260135097,201.33685673998,34.0370017090709
8.3,1.43155268494874,204.484357416943,30.9733911413081
8.4,1.45324720945747,207.580089208963,29.1804355114499
8.5,1.47476147763158,210.650558948482,30.3266121540802
8.6,1.49602428670874,213.67851720612,31.3527894818716
8.7,1.51683954964501,216.636191816383,30.9290885329906
8.8,1.53724410140503,219.520600220669,29.9033593365577
8.9,1.55721343348067,222.363018330892,28.95976099637
9,1.57673828235233,225.165451236895,28.2187982429968
9.1,1.59615734101912,227.953019390206,28.8925388446525
9.2,1.61541549780806,230.725306212369,31.0006580689768
9.3,1.63415040776378,233.420880806881,31.7467873628224
9.4,1.65206411329065,235.964920373995,28.9927746148935
9.5,1.66919425034412,238.401919875767,26.5141631348447
9.6,1.68573940050724,240.772252619335,27.1908864703715
9.7,1.70180906752715,243.076788069936,28.141283904965
9.8,1.71730133258781,245.297592121373,27.5609123432372
9.9,1.73212794972966,247.421874612678,26.1667430608419
10,1.74629244741605,249.449420191192,24.7685313811803
10.1,1.75982066170382,251.381049662662,23.5694029386472
10.2,1.77299337404834,253.262175228865,23.3416990854475
10.3,1.78589771606749,255.106232467991,24.3543532062182
10.4,1.79856061728582,256.899382091282,24.793830569978
10.5,1.81069314467221,258.632764019665,22.5204193307988
10.6,1.82199331705414,260.258180900114,19.7893788207437
10.7,1.83244756427066,261.756799948847,20.2378371853143
